channel,mode,mode_name,snr_db,estimator,frames,decoded,fer,mean_snr_db
awgn,4,QPSK-1/2,1.4,linear,16,16,0.0,1.92
awgn,4,QPSK-1/2,1.4,wiener,16,16,0.0,1.74
awgn,4,QPSK-1/2,3.4,linear,16,16,0.0,3.71
awgn,4,QPSK-1/2,3.4,wiener,16,16,0.0,3.6
awgn,8,QAM16-1/2,6.0,linear,16,12,0.25,6.3
awgn,8,QAM16-1/2,6.0,wiener,16,16,0.0,6.25
awgn,8,QAM16-1/2,8.0,linear,16,16,0.0,8.23
awgn,8,QAM16-1/2,8.0,wiener,16,16,0.0,8.22
awgn,10,QAM16-3/4,9.9,linear,16,16,0.0,10.08
awgn,10,QAM16-3/4,9.9,wiener,16,16,0.0,10.1
awgn,10,QAM16-3/4,11.9,linear,16,16,0.0,12.02
awgn,10,QAM16-3/4,11.9,wiener,16,16,0.0,12.07
good,4,QPSK-1/2,8.4,linear,16,12,0.25,6.25
good,4,QPSK-1/2,8.4,wiener,16,12,0.25,5.87
good,4,QPSK-1/2,10.4,linear,16,16,0.0,8.08
good,4,QPSK-1/2,10.4,wiener,16,14,0.125,7.72
good,8,QAM16-1/2,13.0,linear,16,12,0.25,10.85
good,8,QAM16-1/2,13.0,wiener,16,8,0.5,10.49
good,8,QAM16-1/2,15.0,linear,16,15,0.0625,12.77
good,8,QAM16-1/2,15.0,wiener,16,11,0.3125,12.4
good,10,QAM16-3/4,16.9,linear,16,11,0.3125,14.71
good,10,QAM16-3/4,16.9,wiener,16,3,0.8125,14.33
good,10,QAM16-3/4,18.9,linear,16,15,0.0625,16.62
good,10,QAM16-3/4,18.9,wiener,16,5,0.6875,16.27
moderate,4,QPSK-1/2,8.4,linear,16,14,0.125,6.8
moderate,4,QPSK-1/2,8.4,wiener,16,11,0.3125,6.44
moderate,4,QPSK-1/2,10.4,linear,16,15,0.0625,8.62
moderate,4,QPSK-1/2,10.4,wiener,16,12,0.25,8.25
moderate,8,QAM16-1/2,13.0,linear,16,14,0.125,11.51
moderate,8,QAM16-1/2,13.0,wiener,16,10,0.375,11.16
moderate,8,QAM16-1/2,15.0,linear,16,15,0.0625,13.39
moderate,8,QAM16-1/2,15.0,wiener,16,10,0.375,13.07
moderate,10,QAM16-3/4,16.9,linear,16,13,0.1875,15.15
moderate,10,QAM16-3/4,16.9,wiener,16,6,0.625,14.62
moderate,10,QAM16-3/4,18.9,linear,16,14,0.125,17.0
moderate,10,QAM16-3/4,18.9,wiener,16,6,0.625,16.49
poor,4,QPSK-1/2,6.4,linear,16,13,0.1875,4.96
poor,4,QPSK-1/2,6.4,wiener,16,6,0.625,5.24
poor,4,QPSK-1/2,8.4,linear,16,15,0.0625,6.78
poor,4,QPSK-1/2,8.4,wiener,16,8,0.5,7.23
poor,8,QAM16-1/2,11.0,linear,16,9,0.4375,9.51
poor,8,QAM16-1/2,11.0,wiener,16,5,0.6875,10.12
poor,8,QAM16-1/2,13.0,linear,16,12,0.25,11.42
poor,8,QAM16-1/2,13.0,wiener,16,6,0.625,12.37
poor,10,QAM16-3/4,14.9,linear,16,1,0.9375,13.37
poor,10,QAM16-3/4,14.9,wiener,16,5,0.6875,14.25
poor,10,QAM16-3/4,16.9,linear,16,3,0.8125,15.22
poor,10,QAM16-3/4,16.9,wiener,16,5,0.6875,16.07
