policy,link,bandwidth_hz,channel,snr_db,pipe,floor_cap,first_trial,sessions,connected,lines,delivered,lost,drops,stalls,median_s,p90_s,mean_s,reply_median_s,reply_p90_s,follow_up_median_s,follow_up_p90_s,file_bytes,file_median_s,keyed_per_line_s,duty,polls_per_line,turns_per_line,requests_per_line,wall_s
base,,2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,31.9,47.9,31.3,35.1,49.5,10.7,16.1,0,,32.93,0.689,1.298,0.796,0.0,1.3
keepalive5,keepalive_s=5.0,2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,29.1,44.5,29.4,32.5,45.7,10.7,19.2,0,,35.63,0.777,1.713,0.796,0.0,1.4
handover,handover=always,2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,16.1,37.8,19.6,14.6,26.9,34.0,46.3,0,,29.46,0.816,1.258,1.16,0.0,1.2
handover+keepalive5,"handover=always,keepalive_s=5.0",2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,16.1,36.4,19.0,14.5,26.8,32.9,44.1,0,,30.68,0.864,1.438,1.16,0.0,1.6
request,chat=True,2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,22.8,42.8,25.2,27.9,42.8,10.7,16.1,0,,30.93,0.741,0.648,0.796,0.707,1.7
handover+request,"chat=True,handover=always",2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,16.1,33.2,18.2,14.8,25.6,28.1,42.8,0,,29.11,0.838,1.12,1.16,0.164,1.8
ordinary-handover+request,"chat=True,handover=ordinary",2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,22.8,42.8,25.2,27.9,42.8,10.7,16.1,0,,30.93,0.741,0.648,0.796,0.707,1.5
request+keepalive20,"chat=True,keepalive_s=20.0",2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,22.5,42.8,25.2,27.9,42.8,10.7,16.1,0,,28.49,0.682,0.278,0.796,0.7,1.2
handover+request+keepalive20,"chat=True,handover=always,keepalive_s=20.0",2300,awgn,-12.0,fading,1,0,30,30,457,457,0,0,0,16.1,33.2,17.2,12.7,23.4,27.9,42.8,0,,27.56,0.818,0.873,1.16,0.177,1.2
base,,2300,awgn,-6.0,fading,1,0,30,30,457,457,0,0,0,21.3,28.4,19.6,22.9,29.3,5.4,9.6,0,,21.31,0.591,1.298,0.796,0.0,1.0
