bandwidth_hz,frame,channel,awgn_db,target_db,beta,fitted_db,clamped
2300,tone-24,good,-19.0,-12.0,0.0122,-12.0,0
2300,tone-24,moderate,-19.0,-13.17,0.0076,-13.17,0
2300,tone-24,poor,-19.0,-14.52,0.0082,-14.52,0
2300,tone-36,good,-17.3,-8.83,0.0111,-8.83,0
2300,tone-36,moderate,-17.3,-10.29,0.009,-10.29,0
2300,tone-36,poor,-17.3,-10.93,0.0084,-10.93,0
2300,mode 0,good,-5.1,2.0,0.2061,2.0,0
2300,mode 0,moderate,-5.1,1.25,0.2434,1.25,0
2300,mode 0,poor,-5.1,-0.33,0.2541,-0.33,0
2300,mode 1,good,-3.2,4.29,0.2897,4.29,0
2300,mode 1,moderate,-3.2,3.92,0.29,3.92,0
2300,mode 1,poor,-3.2,1.92,0.3484,1.92,0
2300,mode 2,good,-1.8,5.5,0.4183,5.5,0
2300,mode 2,moderate,-1.8,4.75,0.4819,4.75,0
2300,mode 2,poor,-1.8,2.33,0.7216,2.33,0
2300,mode 3,good,-0.4,7.09,0.5521,7.09,0
2300,mode 3,moderate,-0.4,6.72,0.5526,6.72,0
2300,mode 3,poor,-0.4,4.72,0.6639,4.72,0
2300,mode 4,good,1.4,8.67,0.8813,8.67,0
2300,mode 4,moderate,1.4,8.5,0.8423,8.5,0
2300,mode 4,poor,1.4,6.0,1.2124,6.0,0
2300,mode 5,good,2.9,10.39,1.1803,10.39,0
2300,mode 5,moderate,2.9,10.02,1.1814,10.02,0
2300,mode 5,poor,2.9,8.02,1.4194,8.02,0
2300,mode 6,good,4.7,11.67,2.0427,11.67,0
2300,mode 6,moderate,4.7,12.33,1.5674,12.33,0
2300,mode 6,poor,4.7,9.67,2.2577,9.67,0
2300,mode 7,good,6.9,14.39,2.9648,14.39,0
2300,mode 7,moderate,6.9,14.02,2.9674,14.02,0
2300,mode 7,poor,6.9,12.02,3.5654,12.02,0
2300,mode 8,good,6.0,13.67,2.3143,13.67,0
2300,mode 8,moderate,6.0,12.67,2.7853,12.67,0
2300,mode 8,poor,6.0,12.5,2.0507,12.5,0
2300,mode 9,good,8.9,16.39,4.6989,16.39,0
2300,mode 9,moderate,8.9,16.02,4.7031,16.02,0
2300,mode 9,poor,8.9,14.02,5.6507,14.02,0
