channel,mode,mode_name,snr_3k_db,frames,acquired,decoded,fer,throughput_bps,mean_reported_snr_db,seconds
awgn,0,BPSK-1/5,-9.0,30,11,0,1.0,0,-5.0,20.3
awgn,0,BPSK-1/5,-8.0,30,21,0,1.0,0,-4.57,21.1
awgn,0,BPSK-1/5,-7.0,30,30,0,1.0,0,-4.04,24.2
awgn,0,BPSK-1/5,-6.0,30,30,8,0.7333,53,-3.49,22.4
awgn,0,BPSK-1/5,-5.0,30,30,30,0.0,197,-2.89,16.3
awgn,0,BPSK-1/5,-4.0,30,30,30,0.0,197,-2.23,15.5
awgn,4,QPSK-1/2,-1.0,30,30,0,1.0,0,-0.1,23.6
awgn,4,QPSK-1/2,0.0,30,30,0,1.0,0,0.73,24.0
awgn,4,QPSK-1/2,1.0,30,30,25,0.1667,911,1.58,19.6
awgn,4,QPSK-1/2,2.0,30,30,30,0.0,1093,2.46,15.2
awgn,4,QPSK-1/2,3.0,30,30,30,0.0,1093,3.36,15.1
awgn,8,QAM16-1/2,4.0,30,30,0,1.0,0,4.35,25.4
awgn,8,QAM16-1/2,5.0,30,30,0,1.0,0,5.29,23.8
awgn,8,QAM16-1/2,6.0,30,30,25,0.1667,1841,6.23,21.1
awgn,8,QAM16-1/2,7.0,30,30,30,0.0,2209,7.19,15.9
awgn,8,QAM16-1/2,8.0,30,30,30,0.0,2209,8.15,15.8
awgn,13,QAM64-5/6,15.0,30,30,0,1.0,0,14.91,28.8
awgn,13,QAM64-5/6,16.0,30,30,0,1.0,0,15.86,27.9
awgn,13,QAM64-5/6,17.0,30,30,30,0.0,5556,16.81,21.3
awgn,13,QAM64-5/6,18.0,30,30,30,0.0,5556,17.74,18.5
