mode,mode_name,snr_db,impulsive_probability,burst_db,blanker,per_symbol_noise,frames,decoded,fer,blanked_fraction
0,BPSK-1/5,-3.0,0.0,25.0,0,0,10,10,0.0,0.0
0,BPSK-1/5,-3.0,0.0,25.0,0,1,10,10,0.0,0.0
0,BPSK-1/5,-3.0,0.0,25.0,1,0,10,10,0.0,1e-05
0,BPSK-1/5,-3.0,0.0,25.0,1,1,10,10,0.0,1e-05
0,BPSK-1/5,-3.0,0.002,25.0,0,0,10,8,0.2,0.0
0,BPSK-1/5,-3.0,0.002,25.0,0,1,10,9,0.1,0.0
0,BPSK-1/5,-3.0,0.002,25.0,1,0,10,10,0.0,0.00198
0,BPSK-1/5,-3.0,0.002,25.0,1,1,10,10,0.0,0.00198
0,BPSK-1/5,-3.0,0.005,25.0,0,0,10,1,0.9,0.0
0,BPSK-1/5,-3.0,0.005,25.0,0,1,10,3,0.7,0.0
0,BPSK-1/5,-3.0,0.005,25.0,1,0,10,10,0.0,0.00502
0,BPSK-1/5,-3.0,0.005,25.0,1,1,10,10,0.0,0.00502
0,BPSK-1/5,-3.0,0.01,25.0,0,0,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.01,25.0,0,1,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.01,25.0,1,0,10,10,0.0,0.00977
0,BPSK-1/5,-3.0,0.01,25.0,1,1,10,10,0.0,0.00977
0,BPSK-1/5,-3.0,0.02,25.0,0,0,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.02,25.0,0,1,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.02,25.0,1,0,10,10,0.0,0.01944
0,BPSK-1/5,-3.0,0.02,25.0,1,1,10,10,0.0,0.01944
0,BPSK-1/5,-3.0,0.05,25.0,0,0,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.05,25.0,0,1,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.05,25.0,1,0,10,10,0.0,0.04885
0,BPSK-1/5,-3.0,0.05,25.0,1,1,10,10,0.0,0.04885
0,BPSK-1/5,-3.0,0.1,25.0,0,0,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.1,25.0,0,1,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.1,25.0,1,0,10,10,0.0,0.09527
0,BPSK-1/5,-3.0,0.1,25.0,1,1,10,10,0.0,0.09527
0,BPSK-1/5,-3.0,0.2,25.0,0,0,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.2,25.0,0,1,10,0,1.0,0.0
0,BPSK-1/5,-3.0,0.2,25.0,1,0,10,10,0.0,0.18907
0,BPSK-1/5,-3.0,0.2,25.0,1,1,10,10,0.0,0.18907
4,QPSK-1/2,4.0,0.0,25.0,0,0,10,10,0.0,0.0
4,QPSK-1/2,4.0,0.0,25.0,0,1,10,10,0.0,0.0
4,QPSK-1/2,4.0,0.0,25.0,1,0,10,10,0.0,0.0
4,QPSK-1/2,4.0,0.0,25.0,1,1,10,10,0.0,0.0
4,QPSK-1/2,4.0,0.002,25.0,0,0,10,9,0.1,0.0
4,QPSK-1/2,4.0,0.002,25.0,0,1,10,10,0.0,0.0
4,QPSK-1/2,4.0,0.002,25.0,1,0,10,10,0.0,0.00191
4,QPSK-1/2,4.0,0.002,25.0,1,1,10,10,0.0,0.00191
4,QPSK-1/2,4.0,0.005,25.0,0,0,10,4,0.6,0.0
4,QPSK-1/2,4.0,0.005,25.0,0,1,10,5,0.5,0.0
4,QPSK-1/2,4.0,0.005,25.0,1,0,10,10,0.0,0.00487
4,QPSK-1/2,4.0,0.005,25.0,1,1,10,10,0.0,0.00487
4,QPSK-1/2,4.0,0.01,25.0,0,0,10,0,1.0,0.0
4,QPSK-1/2,4.0,0.01,25.0,0,1,10,0,1.0,0.0
4,QPSK-1/2,4.0,0.01,25.0,1,0,10,10,0.0,0.0096
