bg,info_bits,z,rate,e_bits,es_n0_db,eb_n0_db,blocks,block_errors,bler,ber,mean_iterations,seconds
2,480,60,1/5,2400,-9.0,-2.01,128,128,1.0,0.371728515625,25.0,5.7
2,480,60,1/5,2400,-8.5,-1.51,128,128,1.0,0.35369466145833334,25.0,7.2
2,480,60,1/5,2400,-8.0,-1.01,128,128,1.0,0.3353678385416667,25.0,7.1
2,480,60,1/5,2400,-7.5,-0.51,128,128,1.0,0.3221028645833333,25.0,6.8
2,480,60,1/5,2400,-7.0,-0.01,128,106,0.828125,0.235986328125,23.66,7.1
2,480,60,1/5,2400,-6.5,0.49,256,98,0.3828125,0.0947998046875,18.09,15.3
2,480,60,1/5,2400,-6.0,0.99,896,66,0.07366071428571429,0.017868768601190476,10.96,49.8
2,480,60,1/5,2400,-5.5,1.49,1024,3,0.0029296875,0.00025634765625,6.8,42.0
2,480,60,1/5,2400,-5.0,1.99,1024,0,0.0,0.0,5.21,26.1
2,480,60,1/3,1440,-6.5,-1.73,128,128,1.0,0.32366536458333334,25.0,6.5
2,480,60,1/3,1440,-6.0,-1.23,128,128,1.0,0.312744140625,25.0,6.9
2,480,60,1/3,1440,-5.5,-0.73,128,128,1.0,0.29248046875,25.0,7.9
2,480,60,1/3,1440,-5.0,-0.23,128,128,1.0,0.2752766927083333,25.0,7.1
2,480,60,1/3,1440,-4.5,0.27,128,114,0.890625,0.22003580729166666,23.99,7.6
2,480,60,1/3,1440,-4.0,0.77,256,90,0.3515625,0.07945149739583333,16.82,15.4
2,480,60,1/3,1440,-3.5,1.27,1024,51,0.0498046875,0.010504150390625,9.54,56.1
2,480,60,1/3,1440,-3.0,1.77,1024,3,0.0029296875,0.0006327311197916667,6.22,42.6
2,480,60,1/3,1440,-2.5,2.27,1024,0,0.0,0.0,4.83,28.5
2,480,60,1/2,960,-4.5,-1.49,128,128,1.0,0.27242838541666664,25.0,7.0
2,480,60,1/2,960,-4.0,-0.99,128,128,1.0,0.25439453125,25.0,6.8
2,480,60,1/2,960,-3.5,-0.49,128,128,1.0,0.24192708333333332,25.0,7.7
2,480,60,1/2,960,-3.0,0.01,128,126,0.984375,0.21339518229166668,24.95,7.8
2,480,60,1/2,960,-2.5,0.51,128,112,0.875,0.15686848958333333,23.8,7.6
2,480,60,1/2,960,-2.0,1.01,256,124,0.484375,0.074560546875,18.81,13.2
2,480,60,1/2,960,-1.5,1.51,768,67,0.08723958333333333,0.0105224609375,10.61,38.9
2,480,60,1/2,960,-1.0,2.01,1024,2,0.001953125,0.00018717447916666668,6.15,38.8
2,480,60,1/2,960,-0.5,2.51,1024,0,0.0,0.0,4.65,26.6
2,480,60,2/3,720,-2.5,-0.74,128,128,1.0,0.22986653645833333,25.0,11.8
2,480,60,2/3,720,-2.0,-0.24,128,128,1.0,0.2142578125,25.0,10.1
2,480,60,2/3,720,-1.5,0.26,128,128,1.0,0.19532877604166668,25.0,9.1
2,480,60,2/3,720,-1.0,0.76,128,125,0.9765625,0.16463216145833334,24.79,9.5
2,480,60,2/3,720,-0.5,1.26,128,101,0.7890625,0.10543619791666667,22.64,9.8
2,480,60,2/3,720,0.0,1.76,256,93,0.36328125,0.0412353515625,16.9,19.5
2,480,60,2/3,720,0.5,2.26,1024,52,0.05078125,0.0054890950520833336,8.35,67.2
2,480,60,2/3,720,1.0,2.76,1024,2,0.001953125,0.00013427734375,4.99,39.8
2,480,60,2/3,720,1.5,3.26,1024,0,0.0,0.0,3.75,26.5
2,480,60,3/4,640,-1.5,-0.25,128,128,1.0,0.19786783854166667,25.0,7.6
2,480,60,3/4,640,-1.0,0.25,128,128,1.0,0.1720703125,25.0,7.1
2,480,60,3/4,640,-0.5,0.75,128,128,1.0,0.15125325520833333,25.0,5.6
2,480,60,3/4,640,0.0,1.25,128,125,0.9765625,0.12068684895833333,24.65,6.5
2,480,60,3/4,640,0.5,1.75,128,109,0.8515625,0.07399088541666667,23.35,6.7
2,480,60,3/4,640,1.0,2.25,256,100,0.390625,0.024983723958333332,15.51,14.4
2,480,60,3/4,640,1.5,2.75,1024,69,0.0673828125,0.0026835123697916668,7.97,42.3
2,480,60,3/4,640,2.0,3.25,1024,9,0.0087890625,0.0002726236979166667,4.82,33.3
2,480,60,3/4,640,2.5,3.75,1024,1,0.0009765625,1.4241536458333334e-05,3.52,23.7
2,480,60,5/6,576,-1.0,-0.21,128,128,1.0,0.18483072916666668,25.0,5.9
2,480,60,5/6,576,-0.5,0.29,128,128,1.0,0.16682942708333334,25.0,7.2
2,480,60,5/6,576,0.0,0.79,128,128,1.0,0.14557291666666666,25.0,7.7
2,480,60,5/6,576,0.5,1.29,128,128,1.0,0.12434895833333333,25.0,7.2
2,480,60,5/6,576,1.0,1.79,128,128,1.0,0.10418294270833334,25.0,7.0
2,480,60,5/6,576,1.5,2.29,128,122,0.953125,0.071875,24.34,7.6
2,480,60,5/6,576,2.0,2.79,128,80,0.625,0.03673502604166667,19.69,7.5
2,480,60,5/6,576,2.5,3.29,256,63,0.24609375,0.009309895833333333,11.97,20.5
2,480,60,5/6,576,3.0,3.79,1024,35,0.0341796875,0.0012105305989583333,6.09,57.5
2,480,60,5/6,576,3.5,4.29,1024,4,0.00390625,4.475911458333333e-05,4.12,77.4
2,480,60,5/6,576,4.0,4.79,1024,1,0.0009765625,2.0345052083333333e-06,3.17,28.3
