variant,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,338.2,47.3,156.7,0.302,0,2,2,2,9,51,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,306.9,52.1,156.7,0.333,0,2,2,1,8,46,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.7,49.1,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,311.8,51.3,156.7,0.327,0,2,2,2,8,47,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,326.6,49.0,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,311.4,51.4,156.7,0.328,0,2,2,2,8,47,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,306.7,52.2,156.7,0.333,0,2,2,1,8,46,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,324.9,49.2,156.7,0.314,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,311.8,51.3,156.7,0.327,0,2,2,2,8,47,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,312.7,51.2,156.7,0.326,0,2,2,2,8,47,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,306.5,52.2,156.7,0.333,0,2,2,1,8,46,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.3,49.2,156.7,0.314,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,305.4,52.4,156.7,0.334,0,2,2,1,8,46,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,326.4,49.0,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,326.2,49.0,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,309.9,51.6,156.7,0.329,0,2,2,2,8,47,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,310.0,51.6,156.7,0.329,0,2,2,2,8,47,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,337.2,47.4,156.7,0.303,0,2,2,2,9,51,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.6,49.1,156.7,0.314,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.7,49.1,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,310.0,51.6,156.7,0.329,0,2,2,2,8,47,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.3,49.2,156.7,0.314,0,2,2,2,9,49,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,305.6,52.4,156.7,0.334,0,2,2,1,8,46,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.7,49.1,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,306.9,52.1,156.7,0.333,0,2,2,1,8,46,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.6,49.1,156.7,0.314,0,2,2,2,9,49,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,325.7,49.1,156.7,0.313,0,2,2,2,9,49,0,0,0,1,0.1
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,312.7,51.2,156.7,0.326,0,2,2,2,8,47,0,0,0,1,0.0
beta.54,sim,2300,,,awgn,-12.0,average,fading,,2000,311.4,51.4,156.7,0.328,0,2,2,2,8,47,0,0,0,1,0.1
