variant,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.9,25.2,35.8,0.703,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,327.2,24.4,35.8,0.683,0,0,0,0,9,49,1,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.2,25.3,35.8,0.706,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.1,25.2,35.8,0.704,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.0,25.2,35.8,0.705,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.7,25.3,35.8,0.705,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.4,25.2,35.8,0.704,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,315.3,25.4,35.8,0.708,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.1,25.2,35.8,0.704,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,318.1,25.1,35.8,0.702,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.2,25.2,35.8,0.704,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,315.7,25.3,35.8,0.707,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.1,25.3,35.8,0.706,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.8,25.3,35.8,0.705,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.7,25.3,35.8,0.705,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,324.8,24.6,35.8,0.688,0,0,0,0,9,49,1,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,352.5,22.7,35.8,0.634,0,0,0,0,9,54,6,0,1,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.9,25.2,35.8,0.705,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.0,25.3,35.8,0.707,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.2,25.3,35.8,0.706,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,315.3,25.4,35.8,0.708,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,325.3,24.6,35.8,0.687,0,0,0,0,9,49,1,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.3,25.3,35.8,0.706,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,325.7,24.6,35.8,0.686,0,0,0,0,9,49,1,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,317.6,25.2,35.8,0.703,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.0,25.3,35.8,0.707,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.1,25.3,35.8,0.706,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,318.1,25.2,35.8,0.702,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,316.7,25.3,35.8,0.705,0,0,0,0,8,48,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-18.0,average,fading,,1000,326.3,24.5,35.8,0.684,0,0,0,0,9,49,1,0,0,1,0.0
beta.53,sim,500,,,awgn,-14.0,average,fading,,1000,281.5,28.4,53.7,0.529,0,1,1,1,7,42,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-14.0,average,fading,,1000,270.6,29.6,53.7,0.55,0,1,1,1,7,40,0,0,0,1,0.0
beta.53,sim,500,,,awgn,-14.0,average,fading,,1000,279.8,28.6,53.7,0.532,0,1,1,1,7,42,0,0,0,1,0.0
