point,backend,bandwidth_hz,rate,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
W1,phy,2300,,good,6.0,average,phy-continuous,,2000,45.0,355.5,531.3,0.669,0,3,2,3,6,34,2,2,0,1,17.8
W1,phy,2300,,good,6.0,average,phy-continuous,,2000,25.1,638.4,531.3,1.202,2,4,4,1,3,18,0,0,0,1,9.4
W1,phy,2300,,good,6.0,average,phy-continuous,,2000,41.8,382.3,531.3,0.72,1,3,3,3,6,31,3,3,0,1,16.7
W1,phy,2300,,good,6.0,average,phy-continuous,,2000,25.1,638.4,531.3,1.202,3,5,4,2,3,18,3,3,0,1,11.1
W1,sim,2300,,good,6.0,average,fading,,2000,61.8,258.8,531.3,0.487,0,2,1,4,8,48,4,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,81.8,195.7,531.3,0.368,0,1,0,3,11,64,3,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,31.4,510.2,531.3,0.96,0,4,4,2,4,23,0,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,36.6,437.1,531.3,0.823,0,4,4,3,5,27,0,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,24.0,666.4,531.3,1.254,3,5,4,2,3,17,2,1,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,47.1,339.6,531.3,0.639,0,3,1,4,6,36,2,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,56.6,282.9,531.3,0.533,0,3,3,5,8,43,5,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,44.6,359.0,531.3,0.676,0,3,2,3,6,32,2,0,0,1,0.0
W1,sim,2300,,good,6.0,average,fading,,2000,31.4,510.2,531.3,0.96,0,4,4,2,4,23,0,0,0,1,0.0
