backend,bandwidth_hz,rate,channel,snr_db,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
sim,2300,,awgn,-4.0,,16000,1252.3,102.2,197.3,0.518,0,0,0,0,167,998,302,25,33,1,0.2
sim,2300,,awgn,-4.0,,16000,1243.6,102.9,197.3,0.522,0,0,0,0,165,990,294,39,30,1,0.4
sim,2300,,awgn,-4.0,,16000,1332.9,96.0,197.3,0.487,0,0,0,0,177,1058,362,32,42,1,0.2
sim,2300,,awgn,0.0,,16000,601.7,212.7,721.1,0.295,0,1,0,10,82,488,6,0,0,1,0.2
sim,2300,,awgn,0.0,,16000,616.4,207.7,721.1,0.288,0,1,0,8,84,500,7,0,0,1,0.1
sim,2300,,awgn,0.0,,16000,627.9,203.8,721.1,0.283,0,1,1,13,85,510,6,0,0,1,0.1
sim,2300,,awgn,4.0,,16000,235.1,544.4,1464.9,0.372,0,3,3,4,32,189,1,0,0,1,0.0
sim,2300,,awgn,4.0,,16000,225.6,567.3,1464.9,0.387,0,3,3,2,31,181,0,0,0,1,0.0
sim,2300,,awgn,4.0,,16000,237.2,539.7,1464.9,0.368,0,3,2,5,33,190,2,0,0,1,0.0
sim,2300,,awgn,8.0,,16000,111.2,1151.3,2208.7,0.521,0,6,6,4,15,88,0,0,0,1,0.0
sim,2300,,awgn,8.0,,16000,111.2,1151.3,2208.7,0.521,0,6,6,4,15,88,0,0,0,1,0.0
sim,2300,,awgn,8.0,,16000,116.4,1099.4,2208.7,0.498,0,6,5,5,16,92,1,0,0,1,0.0
sim,2300,,awgn,12.0,,16000,79.7,1606.8,3324.5,0.483,0,9,9,5,11,62,0,0,0,1,0.0
sim,2300,,awgn,12.0,,16000,79.7,1606.8,3324.5,0.483,0,9,9,5,11,62,0,0,0,1,0.0
sim,2300,,awgn,12.0,,16000,79.7,1606.8,3324.5,0.483,0,9,9,5,11,62,0,0,0,1,0.0
sim,2300,,awgn,16.0,,16000,72.3,1770.2,4994.3,0.354,0,10,10,5,10,56,0,0,0,1,0.0
sim,2300,,awgn,16.0,,16000,72.3,1770.2,4994.3,0.354,0,10,10,5,10,56,0,0,0,1,0.0
sim,2300,,awgn,16.0,,16000,72.3,1770.2,4994.3,0.354,0,10,10,5,10,56,0,0,0,1,0.0
sim,2300,,awgn,20.0,,16000,60.8,2106.4,5556.0,0.379,0,13,13,6,8,47,0,0,0,1,0.0
sim,2300,,awgn,20.0,,16000,60.8,2106.4,5556.0,0.379,0,13,13,6,8,47,0,0,0,1,0.0
sim,2300,,awgn,20.0,,16000,60.8,2106.4,5556.0,0.379,0,13,13,6,8,47,0,0,0,1,0.0
