variant,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,38.1,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,52.9,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,46.4,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,41.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,49.5,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,44.6,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,40.2,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,30.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,57.6,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,48.9,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,44.1,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,50.4,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,54.1,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,49.7,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,44.2,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,50.3,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,40.6,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,46.6,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,49.3,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,38.1,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,48.3,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,39.3,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,50.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,46.5,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,44.8,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,55.8,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,40.8,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,41.8,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,53.6,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-18.0,average,fading,,2000,47.4,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-14.0,average,fading,,2000,38.1,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
beta.50,sim,2300,,,awgn,-14.0,average,fading,,2000,52.9,0.0,0.0,,,,,0,0,0,0,0,0,0,0.0
