metric,technique,target_papr_db,pa_smoothness,splatter_limit_db,mode,snr_db,papr_db,evm_db,oob_db,avg_power_rel_psat_db,delivered_snr_db,gain_db,decoded,frames
waveform,none,,,,,,10.64,,-66.8,,,,,
waveform,clip_and_filter,7.0,,,,,7.57,-31.9,-69.8,,,,,
waveform,clip_and_filter,6.0,,,,,6.68,-26.9,-69.7,,,,,
waveform,clip_and_filter,5.0,,,,,5.86,-22.8,-69.5,,,,,
waveform,clip_and_filter,4.0,,,,,5.14,-19.5,-69.0,,,,,
ccdf,none,,,,,4.0,,,,,,,0.07904324644549764,
ccdf,none,,,,,5.0,,,,,,,0.039854857819905214,
ccdf,none,,,,,6.0,,,,,,,0.01678021327014218,
ccdf,none,,,,,7.0,,,,,,,0.005346563981042654,
ccdf,none,,,,,8.0,,,,,,,0.001273696682464455,
ccdf,none,,,,,9.0,,,,,,,0.0001925355450236967,
ccdf,none,,,,,10.0,,,,,,,1.481042654028436e-05,
tone_reservation,reserve2,,,,,,6.87,0.0,,-4.8,,0.24,,
tone_reservation,reserve4,,,,,,6.63,0.0,,-9.5,,0.48,,
tone_reservation,reserve8,,,,,,6.31,0.0,,-19.0,,0.8,,
delivered,none,,2.0,-45.0,,,,,-45.2,-11.07,8.92,0.0,,
delivered,clip_and_filter,7.0,2.0,-45.0,,,,,-45.9,-10.82,9.17,0.25,,
delivered,clip_and_filter,6.0,2.0,-45.0,,,,,-45.3,-10.33,9.66,0.74,,
delivered,clip_and_filter,5.0,2.0,-45.0,,,,,-45.0,-9.84,10.15,1.23,,
delivered,clip_and_filter,4.0,2.0,-45.0,,,,,-45.8,-9.59,10.41,1.48,,
delivered,none,,2.0,-40.0,,,,,-40.1,-9.64,10.34,0.0,,
delivered,clip_and_filter,7.0,2.0,-40.0,,,,,-40.5,-9.39,10.59,0.25,,
delivered,clip_and_filter,6.0,2.0,-40.0,,,,,-40.8,-9.14,10.84,0.5,,
delivered,clip_and_filter,5.0,2.0,-40.0,,,,,-40.5,-8.66,11.32,0.98,,
delivered,clip_and_filter,4.0,2.0,-40.0,,,,,-40.3,-8.18,11.81,1.46,,
delivered,none,,2.0,-35.0,,,,,-35.4,-8.25,11.67,0.0,,
delivered,clip_and_filter,7.0,2.0,-35.0,,,,,-35.6,-8.01,11.92,0.25,,
delivered,clip_and_filter,6.0,2.0,-35.0,,,,,-35.8,-7.77,12.16,0.49,,
delivered,clip_and_filter,5.0,2.0,-35.0,,,,,-35.4,-7.3,12.63,0.96,,
delivered,clip_and_filter,4.0,2.0,-35.0,,,,,-35.1,-6.83,13.09,1.42,,
delivered,none,,5.0,-45.0,,,,,-46.1,-8.52,11.48,0.0,,
delivered,clip_and_filter,7.0,5.0,-45.0,,,,,-45.1,-7.53,12.46,0.98,,
delivered,clip_and_filter,6.0,5.0,-45.0,,,,,-45.6,-7.04,12.96,1.48,,
delivered,clip_and_filter,5.0,5.0,-45.0,,,,,-46.2,-6.54,13.46,1.98,,
delivered,clip_and_filter,4.0,5.0,-45.0,,,,,-46.8,-6.04,13.95,2.48,,
delivered,none,,5.0,-40.0,,,,,-40.4,-7.55,12.43,0.0,,
delivered,clip_and_filter,7.0,5.0,-40.0,,,,,-41.4,-7.05,12.93,0.5,,
delivered,clip_and_filter,6.0,5.0,-40.0,,,,,-41.6,-6.56,13.42,0.99,,
delivered,clip_and_filter,5.0,5.0,-40.0,,,,,-40.1,-5.83,14.14,1.71,,
delivered,clip_and_filter,4.0,5.0,-40.0,,,,,-40.4,-5.34,14.63,2.2,,
delivered,none,,5.0,-35.0,,,,,-35.6,-6.6,13.3,0.0,,
delivered,clip_and_filter,7.0,5.0,-35.0,,,,,-35.3,-6.12,13.78,0.48,,
delivered,clip_and_filter,6.0,5.0,-35.0,,,,,-36.4,-5.87,14.06,0.76,,
delivered,clip_and_filter,5.0,5.0,-35.0,,,,,-36.4,-5.38,14.55,1.25,,
delivered,clip_and_filter,4.0,5.0,-35.0,,,,,-36.6,-4.89,15.03,1.74,,
decode,none,,,,0,-4.0,,,,,,,10,10
decode,clip_and_filter,7.0,,,0,-4.0,,,,,,,10,10
decode,clip_and_filter,6.0,,,0,-4.0,,,,,,,10,10
decode,clip_and_filter,5.0,,,0,-4.0,,,,,,,10,10
decode,clip_and_filter,4.0,,,0,-4.0,,,,,,,10,10
decode,none,,,,4,2.0,,,,,,,10,10
decode,clip_and_filter,7.0,,,4,2.0,,,,,,,10,10
decode,clip_and_filter,6.0,,,4,2.0,,,,,,,10,10
decode,clip_and_filter,5.0,,,4,2.0,,,,,,,10,10
decode,clip_and_filter,4.0,,,4,2.0,,,,,,,10,10
decode,none,,,,8,7.0,,,,,,,10,10
decode,clip_and_filter,7.0,,,8,7.0,,,,,,,10,10
decode,clip_and_filter,6.0,,,8,7.0,,,,,,,10,10
decode,clip_and_filter,5.0,,,8,7.0,,,,,,,10,10
decode,clip_and_filter,4.0,,,8,7.0,,,,,,,10,10
decode,none,,,,13,18.0,,,,,,,10,10
decode,clip_and_filter,7.0,,,13,18.0,,,,,,,10,10
decode,clip_and_filter,6.0,,,13,18.0,,,,,,,10,10
decode,clip_and_filter,5.0,,,13,18.0,,,,,,,7,10
decode,clip_and_filter,4.0,,,13,18.0,,,,,,,0,10
