bandwidth_hz,frame,modulation,layout,papr_max_db,papr_9999_db,papr_999_db,frames
2300,mode 0,BPSK,long,5.85,5.74,5.63,24
2300,mode 1,BPSK,long,5.85,5.76,5.63,24
2300,mode 2,BPSK,long,5.85,5.75,5.65,24
2300,mode 3,QPSK,long,5.95,5.78,5.68,24
2300,mode 4,QPSK,long,5.87,5.74,5.62,24
2300,mode 5,QPSK,long,5.83,5.76,5.64,24
2300,mode 6,PSK8,long,5.84,5.76,5.63,24
2300,mode 7,PSK8,long,5.87,5.75,5.62,24
2300,mode 8,QAM16,long,7.52,7.35,7.18,24
2300,mode 9,QAM16,long,7.53,7.39,7.23,24
2300,mode 10,QAM16,long,7.48,7.4,7.22,24
2300,mode 11,QAM64,long,7.54,7.37,7.18,24
2300,mode 12,QAM64,long,7.57,7.38,7.2,24
2300,mode 13,QAM64,long,7.57,7.4,7.22,24
2300,control short,BPSK,short,5.87,5.76,5.67,24
500,mode 0,QPSK,floor-long,5.66,5.58,5.52,24
500,mode 1,QPSK,floor-long,5.66,5.57,5.5,24
500,mode 2,QPSK,long,5.67,5.58,5.51,24
500,mode 3,QPSK,long,5.68,5.6,5.51,24
500,mode 4,QPSK,long,5.65,5.58,5.49,24
500,mode 5,PSK8,long,5.73,5.62,5.54,24
500,mode 6,PSK8,long,5.71,5.64,5.53,24
500,mode 7,QAM16,long,7.35,7.27,7.15,24
500,mode 8,QAM16,long,7.43,7.29,7.16,24
500,mode 9,QAM16,long,7.38,7.29,7.16,24
500,mode 10,QAM64,long,7.37,7.28,7.16,24
500,mode 11,QAM64,long,7.38,7.26,7.14,24
500,mode 12,QAM64,long,7.34,7.27,7.17,24
500,control short,QPSK,short,5.68,5.62,5.52,24
500,control floor,QPSK,floor-short,5.58,5.52,5.44,24
