channel,mode,mode_name,snr_3k_db,frames,acquired,decoded,fer,throughput_bps,mean_reported_snr_db,seconds
awgn,0,BPSK-1/5,-9.0,30,12,0,1.0,0,-4.86,29.3
awgn,0,BPSK-1/5,-8.0,30,22,0,1.0,0,-4.52,35.5
awgn,0,BPSK-1/5,-7.0,30,29,0,1.0,0,-4.01,40.0
awgn,0,BPSK-1/5,-6.0,30,30,12,0.6,79,-3.47,35.1
awgn,0,BPSK-1/5,-5.0,30,30,30,0.0,197,-2.86,22.3
awgn,0,BPSK-1/5,-4.0,30,30,30,0.0,197,-2.2,24.4
awgn,2,BPSK-1/2,-5.0,30,30,0,1.0,0,-2.99,54.2
awgn,2,BPSK-1/2,-4.0,30,30,0,1.0,0,-2.33,42.3
awgn,2,BPSK-1/2,-3.0,30,30,0,1.0,0,-1.61,54.2
awgn,2,BPSK-1/2,-2.0,30,30,28,0.0667,496,-0.85,53.6
awgn,2,BPSK-1/2,-1.0,30,30,30,0.0,531,-0.06,47.6
awgn,2,BPSK-1/2,0.0,30,30,30,0.0,531,0.78,46.8
awgn,4,QPSK-1/2,-1.0,30,30,0,1.0,0,-0.06,41.2
awgn,4,QPSK-1/2,0.0,30,30,0,1.0,0,0.77,17.6
awgn,4,QPSK-1/2,1.0,30,30,28,0.0667,1020,1.64,13.5
awgn,4,QPSK-1/2,2.0,30,30,30,0.0,1093,2.52,11.6
awgn,4,QPSK-1/2,3.0,30,30,30,0.0,1093,3.43,11.0
awgn,6,PSK8-1/2,2.0,30,30,0,1.0,0,2.54,17.7
awgn,6,PSK8-1/2,3.0,30,30,0,1.0,0,3.45,17.8
awgn,6,PSK8-1/2,4.0,30,30,25,0.1667,1373,4.38,15.4
awgn,6,PSK8-1/2,5.0,30,30,30,0.0,1647,5.32,15.5
awgn,6,PSK8-1/2,6.0,30,30,30,0.0,1647,6.27,12.6
awgn,8,QAM16-1/2,4.0,30,30,0,1.0,0,4.36,20.5
awgn,8,QAM16-1/2,5.0,30,30,0,1.0,0,5.3,21.7
awgn,8,QAM16-1/2,6.0,30,30,28,0.0667,2061,6.25,18.6
awgn,8,QAM16-1/2,7.0,30,30,30,0.0,2209,7.21,15.2
awgn,8,QAM16-1/2,8.0,30,30,30,0.0,2209,8.18,13.6
awgn,10,QAM16-3/4,8.0,30,30,0,1.0,0,8.28,25.3
awgn,10,QAM16-3/4,9.0,30,30,0,1.0,0,9.25,25.4
awgn,10,QAM16-3/4,10.0,30,30,30,0.0,3324,10.23,18.3
awgn,10,QAM16-3/4,11.0,30,30,30,0.0,3324,11.21,16.0
awgn,13,QAM64-5/6,15.0,30,30,0,1.0,0,15.06,27.2
awgn,13,QAM64-5/6,16.0,30,30,3,0.9,556,16.06,27.2
awgn,13,QAM64-5/6,17.0,30,30,30,0.0,5556,17.05,17.0
awgn,13,QAM64-5/6,18.0,30,30,30,0.0,5556,18.05,14.8
good,0,BPSK-1/5,-7.0,30,14,9,0.7,59,-2.89,15.7
good,0,BPSK-1/5,-6.0,30,18,12,0.6,79,-2.65,26.4
good,0,BPSK-1/5,-5.0,30,18,13,0.5667,86,-1.99,25.6
good,0,BPSK-1/5,-4.0,30,20,15,0.5,99,-1.53,29.9
good,0,BPSK-1/5,-3.0,30,22,18,0.4,118,-1.03,34.8
good,0,BPSK-1/5,-2.0,30,23,21,0.3,138,-0.53,31.6
good,0,BPSK-1/5,-1.0,30,27,24,0.2,158,-0.26,23.2
good,0,BPSK-1/5,0.0,30,27,25,0.1667,164,0.52,21.7
good,0,BPSK-1/5,1.0,30,28,25,0.1667,164,1.16,24.0
good,0,BPSK-1/5,2.0,30,29,27,0.1,178,1.83,21.6
good,0,BPSK-1/5,3.0,30,29,29,0.0333,191,2.68,23.4
good,0,BPSK-1/5,4.0,30,29,29,0.0333,191,3.56,24.7
good,2,BPSK-1/2,-3.0,30,23,9,0.7,159,-1.29,31.8
good,2,BPSK-1/2,-2.0,30,25,12,0.6,213,-0.73,25.1
good,2,BPSK-1/2,-1.0,30,26,13,0.5667,230,-0.09,32.1
good,2,BPSK-1/2,0.0,30,26,17,0.4333,301,0.71,30.5
good,2,BPSK-1/2,1.0,30,27,17,0.4333,301,1.36,29.1
good,2,BPSK-1/2,2.0,30,28,20,0.3333,354,2.0,27.2
good,2,BPSK-1/2,3.0,30,29,24,0.2,425,2.65,24.9
good,2,BPSK-1/2,4.0,30,30,25,0.1667,443,3.31,28.7
good,2,BPSK-1/2,5.0,30,30,26,0.1333,460,4.2,28.4
good,2,BPSK-1/2,6.0,30,30,28,0.0667,496,5.12,21.9
good,2,BPSK-1/2,7.0,30,30,29,0.0333,514,6.04,22.2
good,2,BPSK-1/2,8.0,30,30,30,0.0,531,6.98,21.4
good,4,QPSK-1/2,1.0,30,28,12,0.6,437,1.06,20.0
good,4,QPSK-1/2,2.0,30,28,14,0.5333,510,1.9,18.3
good,4,QPSK-1/2,3.0,30,29,17,0.4333,619,2.57,17.2
good,4,QPSK-1/2,4.0,30,29,19,0.3667,692,3.46,16.7
good,4,QPSK-1/2,5.0,30,29,21,0.3,765,4.36,16.2
good,4,QPSK-1/2,6.0,30,30,24,0.2,874,5.08,16.5
good,4,QPSK-1/2,7.0,30,30,24,0.2,874,6.01,16.1
good,4,QPSK-1/2,8.0,30,30,25,0.1667,911,6.95,14.2
good,4,QPSK-1/2,9.0,30,30,28,0.0667,1020,7.91,14.3
good,4,QPSK-1/2,10.0,30,30,30,0.0,1093,8.87,15.0
good,4,QPSK-1/2,11.0,30,30,30,0.0,1093,9.84,14.4
good,6,PSK8-1/2,4.0,30,30,11,0.6333,604,3.22,19.2
good,6,PSK8-1/2,5.0,30,30,13,0.5667,714,4.12,19.7
good,6,PSK8-1/2,6.0,30,30,16,0.4667,878,5.04,17.9
good,6,PSK8-1/2,7.0,30,30,17,0.4333,933,5.98,18.9
good,6,PSK8-1/2,8.0,30,30,20,0.3333,1098,6.92,16.4
good,6,PSK8-1/2,9.0,30,30,24,0.2,1318,7.88,17.1
good,6,PSK8-1/2,10.0,30,30,24,0.2,1318,8.85,15.9
good,6,PSK8-1/2,11.0,30,30,25,0.1667,1373,9.82,15.4
good,6,PSK8-1/2,12.0,30,30,28,0.0667,1537,10.8,15.6
good,6,PSK8-1/2,13.0,30,30,29,0.0333,1592,11.78,14.6
good,6,PSK8-1/2,14.0,30,30,30,0.0,1647,12.77,14.0
good,8,QAM16-1/2,6.0,30,30,11,0.6333,810,5.12,21.4
good,8,QAM16-1/2,7.0,30,30,14,0.5333,1031,6.05,17.6
good,8,QAM16-1/2,8.0,30,30,16,0.4667,1178,6.99,18.6
good,8,QAM16-1/2,9.0,30,30,18,0.4,1325,7.94,13.8
good,8,QAM16-1/2,10.0,30,30,19,0.3667,1399,8.9,13.4
good,8,QAM16-1/2,11.0,30,30,24,0.2,1767,9.87,13.4
good,8,QAM16-1/2,12.0,30,30,24,0.2,1767,10.84,14.7
good,8,QAM16-1/2,13.0,30,30,25,0.1667,1841,11.82,15.0
good,8,QAM16-1/2,14.0,30,30,28,0.0667,2061,12.8,15.9
good,8,QAM16-1/2,15.0,30,30,29,0.0333,2135,13.79,12.0
good,8,QAM16-1/2,16.0,30,30,30,0.0,2209,14.78,10.9
good,10,QAM16-3/4,10.0,30,30,8,0.7333,887,8.96,20.0
good,10,QAM16-3/4,11.0,30,30,12,0.6,1330,9.93,21.6
good,10,QAM16-3/4,12.0,30,30,15,0.5,1662,10.9,22.4
good,10,QAM16-3/4,13.0,30,30,16,0.4667,1773,11.88,20.9
good,10,QAM16-3/4,14.0,30,30,19,0.3667,2106,12.87,20.0
good,10,QAM16-3/4,15.0,30,30,21,0.3,2327,13.85,15.2
good,10,QAM16-3/4,16.0,30,30,23,0.2333,2549,14.84,15.5
good,10,QAM16-3/4,17.0,30,30,25,0.1667,2770,15.84,17.8
good,10,QAM16-3/4,18.0,30,30,28,0.0667,3103,16.83,16.2
good,10,QAM16-3/4,19.0,30,30,29,0.0333,3214,17.82,15.9
good,10,QAM16-3/4,20.0,30,30,30,0.0,3324,18.82,15.2
good,13,QAM64-5/6,17.0,30,30,7,0.7667,1296,15.73,25.4
good,13,QAM64-5/6,18.0,30,30,9,0.7,1667,16.72,23.6
good,13,QAM64-5/6,19.0,30,30,16,0.4667,2963,17.71,22.0
good,13,QAM64-5/6,20.0,30,30,16,0.4667,2963,18.71,21.6
good,13,QAM64-5/6,21.0,30,30,17,0.4333,3148,19.7,21.4
good,13,QAM64-5/6,22.0,30,30,21,0.3,3889,20.7,18.7
good,13,QAM64-5/6,23.0,30,30,22,0.2667,4074,21.7,18.9
good,13,QAM64-5/6,24.0,30,30,24,0.2,4445,22.69,14.4
good,13,QAM64-5/6,25.0,30,30,28,0.0667,5186,23.69,14.3
good,13,QAM64-5/6,26.0,30,30,29,0.0333,5371,24.68,12.5
good,13,QAM64-5/6,27.0,30,30,30,0.0,5556,25.68,11.4
moderate,0,BPSK-1/5,-6.0,30,14,4,0.8667,26,-3.38,11.6
moderate,0,BPSK-1/5,-5.0,30,22,10,0.6667,66,-3.34,13.2
moderate,0,BPSK-1/5,-4.0,30,24,14,0.5333,92,-2.92,12.5
moderate,0,BPSK-1/5,-3.0,30,25,16,0.4667,105,-2.32,12.8
moderate,0,BPSK-1/5,-2.0,30,25,18,0.4,118,-1.65,13.3
moderate,0,BPSK-1/5,-1.0,30,27,22,0.2667,145,-1.04,11.9
moderate,0,BPSK-1/5,0.0,30,27,23,0.2333,151,-0.3,10.9
moderate,0,BPSK-1/5,1.0,30,29,26,0.1333,171,0.29,11.0
moderate,0,BPSK-1/5,2.0,30,30,30,0.0,197,1.18,10.7
moderate,0,BPSK-1/5,3.0,30,30,30,0.0,197,2.02,10.4
moderate,2,BPSK-1/2,-2.0,30,26,4,0.8667,71,-1.74,16.0
moderate,2,BPSK-1/2,-1.0,30,28,8,0.7333,142,-1.2,15.6
moderate,2,BPSK-1/2,0.0,30,28,13,0.5667,230,-0.45,13.7
moderate,2,BPSK-1/2,1.0,30,28,16,0.4667,283,0.33,12.6
moderate,2,BPSK-1/2,2.0,30,30,20,0.3333,354,1.17,12.9
moderate,2,BPSK-1/2,3.0,30,30,23,0.2333,407,2.01,12.1
moderate,2,BPSK-1/2,4.0,30,30,24,0.2,425,2.88,13.1
moderate,2,BPSK-1/2,5.0,30,30,28,0.0667,496,3.78,14.3
moderate,2,BPSK-1/2,6.0,30,30,28,0.0667,496,4.69,16.1
moderate,2,BPSK-1/2,7.0,30,30,28,0.0667,496,5.62,13.5
moderate,2,BPSK-1/2,8.0,30,30,29,0.0333,514,6.56,13.9
moderate,2,BPSK-1/2,9.0,30,30,30,0.0,531,7.51,13.0
moderate,4,QPSK-1/2,2.0,30,29,6,0.8,219,0.94,14.9
moderate,4,QPSK-1/2,3.0,30,30,14,0.5333,510,1.87,14.1
moderate,4,QPSK-1/2,4.0,30,30,17,0.4333,619,2.74,13.1
moderate,4,QPSK-1/2,5.0,30,30,19,0.3667,692,3.64,12.1
moderate,4,QPSK-1/2,6.0,30,30,22,0.2667,802,4.55,11.6
moderate,4,QPSK-1/2,7.0,30,30,24,0.2,874,5.49,11.2
moderate,4,QPSK-1/2,8.0,30,30,26,0.1333,947,6.43,10.8
moderate,4,QPSK-1/2,9.0,30,30,28,0.0667,1020,7.38,10.4
moderate,4,QPSK-1/2,10.0,30,30,30,0.0,1093,8.35,10.0
moderate,4,QPSK-1/2,11.0,30,30,30,0.0,1093,9.32,9.7
moderate,6,PSK8-1/2,5.0,30,30,7,0.7667,384,3.67,14.9
moderate,6,PSK8-1/2,6.0,30,30,12,0.6,659,4.59,14.1
