channel,mode,mode_name,snr_3k_db,frames,acquired,decoded,fer,throughput_bps,mean_reported_snr_db,seconds
awgn,0,QPSK-1/10,-16.0,30,9,0,1.0,0,-14.33,142.5
awgn,0,QPSK-1/10,-15.0,30,18,0,1.0,0,-13.48,121.6
awgn,0,QPSK-1/10,-14.0,30,23,3,0.9,4,-12.61,101.6
awgn,0,QPSK-1/10,-13.0,30,26,24,0.2,29,-11.77,108.0
awgn,0,QPSK-1/10,-12.0,30,29,29,0.0333,35,-10.94,90.3
awgn,0,QPSK-1/10,-11.0,30,29,29,0.0333,35,-10.1,125.4
awgn,1,QPSK-1/5,-14.0,30,22,0,1.0,0,-12.45,103.0
awgn,1,QPSK-1/5,-13.0,30,26,0,1.0,0,-11.67,123.8
awgn,1,QPSK-1/5,-12.0,30,30,0,1.0,0,-10.92,109.1
awgn,1,QPSK-1/5,-11.0,30,30,11,0.6333,29,-10.08,99.4
awgn,1,QPSK-1/5,-10.0,30,30,30,0.0,78,-9.22,95.9
awgn,1,QPSK-1/5,-9.0,30,30,30,0.0,78,-8.34,89.4
awgn,2,QPSK-1/3,-11.0,30,5,0,1.0,0,-9.49,28.7
awgn,2,QPSK-1/3,-10.0,30,11,0,1.0,0,-8.76,29.5
awgn,2,QPSK-1/3,-9.0,30,17,2,0.9333,8,-7.69,29.8
awgn,2,QPSK-1/3,-8.0,30,23,16,0.4667,61,-6.97,28.7
awgn,2,QPSK-1/3,-7.0,30,27,25,0.1667,95,-6.07,25.0
awgn,2,QPSK-1/3,-6.0,30,27,27,0.1,102,-5.22,25.0
awgn,2,QPSK-1/3,-5.0,30,29,29,0.0333,110,-4.34,23.6
awgn,2,QPSK-1/3,-4.0,30,30,30,0.0,114,-3.43,23.8
awgn,3,QPSK-1/2,-9.0,30,15,0,1.0,0,-7.82,37.1
awgn,3,QPSK-1/2,-8.0,30,21,0,1.0,0,-6.93,30.3
awgn,3,QPSK-1/2,-7.0,30,27,0,1.0,0,-6.17,31.9
awgn,3,QPSK-1/2,-6.0,30,29,17,0.4333,108,-5.24,30.1
awgn,3,QPSK-1/2,-5.0,30,30,29,0.0333,183,-4.37,26.4
awgn,3,QPSK-1/2,-4.0,30,30,30,0.0,190,-3.47,24.7
awgn,4,QPSK-2/3,-8.0,30,24,0,1.0,0,-6.88,30.1
awgn,4,QPSK-2/3,-7.0,30,26,0,1.0,0,-6.04,31.0
awgn,4,QPSK-2/3,-6.0,30,29,0,1.0,0,-5.17,31.6
awgn,4,QPSK-2/3,-5.0,30,30,3,0.9,26,-4.3,32.4
awgn,4,QPSK-2/3,-4.0,30,30,25,0.1667,215,-3.4,29.0
awgn,4,QPSK-2/3,-3.0,30,30,30,0.0,258,-2.47,27.0
awgn,4,QPSK-2/3,-2.0,30,30,30,0.0,258,-1.54,36.0
awgn,5,PSK8-1/2,-6.0,30,29,0,1.0,0,-5.32,46.2
awgn,5,PSK8-1/2,-5.0,30,30,0,1.0,0,-4.43,47.3
awgn,5,PSK8-1/2,-4.0,30,30,0,1.0,0,-3.52,38.5
awgn,5,PSK8-1/2,-3.0,30,30,12,0.6,118,-2.6,32.1
awgn,5,PSK8-1/2,-2.0,30,30,29,0.0333,286,-1.67,27.6
awgn,5,PSK8-1/2,-1.0,30,30,30,0.0,296,-0.72,26.6
awgn,6,PSK8-2/3,-4.0,30,30,0,1.0,0,-3.25,32.4
awgn,6,PSK8-2/3,-3.0,30,30,0,1.0,0,-2.34,32.4
awgn,6,PSK8-2/3,-2.0,30,30,0,1.0,0,-1.42,40.2
awgn,6,PSK8-2/3,-1.0,30,30,2,0.9333,27,-0.49,34.8
awgn,6,PSK8-2/3,0.0,30,30,24,0.2,322,0.45,29.9
awgn,6,PSK8-2/3,1.0,30,30,30,0.0,402,1.4,27.0
awgn,6,PSK8-2/3,2.0,30,30,30,0.0,402,2.35,26.4
awgn,7,QAM16-1/2,-4.0,30,30,0,1.0,0,-3.25,33.2
awgn,7,QAM16-1/2,-3.0,30,30,0,1.0,0,-2.33,33.4
awgn,7,QAM16-1/2,-2.0,30,30,0,1.0,0,-1.41,33.1
awgn,7,QAM16-1/2,-1.0,30,30,14,0.5333,188,-0.47,32.0
awgn,7,QAM16-1/2,0.0,30,30,29,0.0333,389,0.48,27.7
awgn,7,QAM16-1/2,1.0,30,30,30,0.0,402,1.44,27.2
awgn,8,QAM16-2/3,-1.0,30,30,0,1.0,0,-0.4,33.4
awgn,8,QAM16-2/3,0.0,30,30,0,1.0,0,0.56,32.9
awgn,8,QAM16-2/3,1.0,30,30,4,0.8667,72,1.52,33.5
awgn,8,QAM16-2/3,2.0,30,30,28,0.0667,503,2.49,28.2
awgn,8,QAM16-2/3,3.0,30,30,30,0.0,539,3.46,26.6
awgn,8,QAM16-2/3,4.0,30,30,30,0.0,539,4.44,25.9
awgn,9,QAM16-3/4,0.0,30,30,0,1.0,0,0.38,35.8
awgn,9,QAM16-3/4,1.0,30,30,0,1.0,0,1.35,36.1
awgn,9,QAM16-3/4,2.0,30,30,1,0.9667,20,2.32,35.7
awgn,9,QAM16-3/4,3.0,30,30,24,0.2,492,3.3,30.9
awgn,9,QAM16-3/4,4.0,30,30,30,0.0,615,4.28,27.5
awgn,9,QAM16-3/4,5.0,30,30,30,0.0,615,5.26,26.6
awgn,10,QAM64-2/3,4.0,30,30,0,1.0,0,4.27,34.8
awgn,10,QAM64-2/3,5.0,30,30,0,1.0,0,5.26,34.2
awgn,10,QAM64-2/3,6.0,30,30,6,0.8,165,6.25,34.0
awgn,10,QAM64-2/3,7.0,30,30,29,0.0333,800,7.23,29.2
awgn,10,QAM64-2/3,8.0,30,30,30,0.0,827,8.22,28.0
awgn,11,QAM64-3/4,6.0,30,30,0,1.0,0,6.22,36.3
awgn,11,QAM64-3/4,7.0,30,30,0,1.0,0,7.2,36.8
awgn,11,QAM64-3/4,8.0,30,30,13,0.5667,405,8.17,33.9
awgn,11,QAM64-3/4,9.0,30,30,30,0.0,934,9.14,29.1
awgn,11,QAM64-3/4,10.0,30,30,30,0.0,934,10.11,27.3
awgn,12,QAM64-5/6,7.0,30,30,0,1.0,0,7.17,36.0
awgn,12,QAM64-5/6,8.0,30,30,0,1.0,0,8.16,36.3
awgn,12,QAM64-5/6,9.0,30,30,1,0.9667,35,9.14,36.3
awgn,12,QAM64-5/6,10.0,30,30,25,0.1667,867,10.13,30.8
awgn,12,QAM64-5/6,11.0,30,30,30,0.0,1040,11.11,27.5
awgn,12,QAM64-5/6,12.0,30,30,30,0.0,1040,12.09,26.7
good,0,QPSK-1/10,-14.0,30,12,8,0.7333,10,-10.18,89.5
good,0,QPSK-1/10,-13.0,30,16,11,0.6333,13,-10.45,87.5
good,0,QPSK-1/10,-12.0,30,17,12,0.6,14,-9.83,88.5
good,0,QPSK-1/10,-11.0,30,20,15,0.5,18,-9.4,89.2
good,0,QPSK-1/10,-10.0,30,20,16,0.4667,19,-8.56,87.8
good,0,QPSK-1/10,-9.0,30,23,20,0.3333,24,-8.23,87.7
good,0,QPSK-1/10,-8.0,30,24,24,0.2,29,-7.43,86.3
good,0,QPSK-1/10,-7.0,30,27,26,0.1333,31,-7.17,85.4
good,0,QPSK-1/10,-6.0,30,27,26,0.1333,31,-6.28,83.6
good,0,QPSK-1/10,-5.0,30,27,26,0.1333,31,-5.38,85.0
good,0,QPSK-1/10,-4.0,30,27,27,0.1,32,-4.47,85.0
good,0,QPSK-1/10,-3.0,30,27,27,0.1,32,-3.54,84.9
good,0,QPSK-1/10,-2.0,30,28,28,0.0667,34,-3.03,84.2
good,1,QPSK-1/5,-12.0,30,18,8,0.7333,21,-10.21,87.1
good,1,QPSK-1/5,-11.0,30,19,10,0.6667,26,-9.48,86.5
good,1,QPSK-1/5,-10.0,30,20,11,0.6333,29,-8.78,87.0
good,1,QPSK-1/5,-9.0,30,22,13,0.5667,34,-8.17,87.9
good,1,QPSK-1/5,-8.0,30,23,15,0.5,39,-7.52,86.5
good,1,QPSK-1/5,-7.0,30,24,17,0.4333,44,-6.76,85.1
good,1,QPSK-1/5,-6.0,30,26,20,0.3333,52,-6.59,86.9
good,1,QPSK-1/5,-5.0,30,27,23,0.2333,60,-5.78,85.4
good,1,QPSK-1/5,-4.0,30,28,26,0.1333,67,-4.88,82.8
good,1,QPSK-1/5,-3.0,30,28,26,0.1333,67,-3.96,82.5
good,1,QPSK-1/5,-2.0,30,28,26,0.1333,67,-3.03,84.6
good,1,QPSK-1/5,-1.0,30,28,27,0.1,70,-2.09,84.7
good,1,QPSK-1/5,0.0,30,29,28,0.0667,73,-1.24,84.6
good,2,QPSK-1/3,-9.0,30,9,6,0.8,23,-4.84,25.6
good,2,QPSK-1/3,-8.0,30,13,11,0.6333,42,-4.65,26.7
good,2,QPSK-1/3,-7.0,30,15,13,0.5667,49,-4.45,26.1
good,2,QPSK-1/3,-6.0,30,16,14,0.5333,53,-3.59,25.7
good,2,QPSK-1/3,-5.0,30,18,17,0.4333,65,-3.26,25.8
good,2,QPSK-1/3,-4.0,30,20,18,0.4,68,-2.9,26.9
good,2,QPSK-1/3,-3.0,30,24,19,0.3667,72,-3.04,27.6
good,2,QPSK-1/3,-2.0,30,25,21,0.3,80,-2.36,27.2
