channel,mode,mode_name,snr_3k_db,frames,acquired,decoded,fer,throughput_bps,mean_reported_snr_db,seconds
awgn,0,BPSK-1/5,-9.0,30,11,0,1.0,0,-5.0,33.4
awgn,0,BPSK-1/5,-8.0,30,21,0,1.0,0,-4.57,35.5
awgn,0,BPSK-1/5,-7.0,30,30,1,0.9667,7,-4.04,36.0
awgn,0,BPSK-1/5,-6.0,30,30,9,0.7,59,-3.49,31.2
awgn,0,BPSK-1/5,-5.0,30,30,30,0.0,197,-2.89,23.7
awgn,0,BPSK-1/5,-4.0,30,30,30,0.0,197,-2.23,13.7
awgn,1,BPSK-1/3,-7.0,30,27,0,1.0,0,-4.31,19.1
awgn,1,BPSK-1/3,-6.0,30,30,0,1.0,0,-3.72,25.7
awgn,1,BPSK-1/3,-5.0,30,30,0,1.0,0,-3.12,20.5
awgn,1,BPSK-1/3,-4.0,30,30,15,0.5,175,-2.46,17.1
awgn,1,BPSK-1/3,-3.0,30,30,30,0.0,349,-1.76,13.1
awgn,1,BPSK-1/3,-2.0,30,30,30,0.0,349,-1.0,12.0
awgn,2,BPSK-1/2,-5.0,30,30,0,1.0,0,-3.02,19.6
awgn,2,BPSK-1/2,-4.0,30,30,0,1.0,0,-2.36,33.8
awgn,2,BPSK-1/2,-3.0,30,30,0,1.0,0,-1.65,20.7
awgn,2,BPSK-1/2,-2.0,30,30,26,0.1333,460,-0.9,15.9
awgn,2,BPSK-1/2,-1.0,30,30,30,0.0,531,-0.1,13.3
awgn,2,BPSK-1/2,0.0,30,30,30,0.0,531,0.72,12.8
awgn,3,QPSK-1/3,-3.0,30,30,0,1.0,0,-1.62,21.0
awgn,3,QPSK-1/3,-2.0,30,30,1,0.9667,24,-0.87,37.8
awgn,3,QPSK-1/3,-1.0,30,30,22,0.2667,529,-0.08,29.9
awgn,3,QPSK-1/3,0.0,30,30,30,0.0,721,0.75,22.0
awgn,3,QPSK-1/3,1.0,30,30,30,0.0,721,1.6,17.5
awgn,4,QPSK-1/2,-1.0,30,30,0,1.0,0,-0.1,20.6
awgn,4,QPSK-1/2,0.0,30,30,0,1.0,0,0.73,21.4
awgn,4,QPSK-1/2,1.0,30,30,25,0.1667,911,1.58,17.2
awgn,4,QPSK-1/2,2.0,30,30,30,0.0,1093,2.46,14.9
awgn,4,QPSK-1/2,3.0,30,30,30,0.0,1093,3.36,11.3
awgn,5,QPSK-2/3,1.0,30,30,0,1.0,0,1.65,19.2
awgn,5,QPSK-2/3,2.0,30,30,1,0.9667,49,2.53,21.3
awgn,5,QPSK-2/3,3.0,30,30,30,0.0,1465,3.42,18.3
awgn,5,QPSK-2/3,4.0,30,30,30,0.0,1465,4.33,16.5
awgn,6,PSK8-1/2,2.0,30,30,0,1.0,0,2.48,26.3
awgn,6,PSK8-1/2,3.0,30,30,0,1.0,0,3.38,25.6
awgn,6,PSK8-1/2,4.0,30,30,19,0.3667,1043,4.29,28.7
awgn,6,PSK8-1/2,5.0,30,30,30,0.0,1647,5.22,22.9
awgn,6,PSK8-1/2,6.0,30,30,30,0.0,1647,6.15,22.3
awgn,7,PSK8-2/3,4.0,30,30,0,1.0,0,4.27,33.3
awgn,7,PSK8-2/3,5.0,30,30,0,1.0,0,5.19,32.6
awgn,7,PSK8-2/3,6.0,30,30,2,0.9333,147,6.12,33.2
awgn,7,PSK8-2/3,7.0,30,30,30,0.0,2209,7.05,21.2
awgn,7,PSK8-2/3,8.0,30,30,30,0.0,2209,7.99,18.4
awgn,8,QAM16-1/2,4.0,30,30,0,1.0,0,4.35,30.5
awgn,8,QAM16-1/2,5.0,30,30,0,1.0,0,5.29,28.9
awgn,8,QAM16-1/2,6.0,30,30,27,0.1,1988,6.23,19.8
awgn,8,QAM16-1/2,7.0,30,30,30,0.0,2209,7.19,16.3
awgn,8,QAM16-1/2,8.0,30,30,30,0.0,2209,8.16,15.4
awgn,9,QAM16-2/3,6.0,30,30,0,1.0,0,6.22,27.5
awgn,9,QAM16-2/3,7.0,30,30,0,1.0,0,7.18,34.3
awgn,9,QAM16-2/3,8.0,30,30,6,0.8,591,8.14,32.4
awgn,9,QAM16-2/3,9.0,30,30,30,0.0,2953,9.11,22.1
awgn,9,QAM16-2/3,10.0,30,30,30,0.0,2953,10.09,18.5
awgn,10,QAM16-3/4,8.0,30,30,0,1.0,0,8.26,34.5
awgn,10,QAM16-3/4,9.0,30,30,0,1.0,0,9.23,34.2
awgn,10,QAM16-3/4,10.0,30,30,30,0.0,3324,10.2,24.1
awgn,10,QAM16-3/4,11.0,30,30,30,0.0,3324,11.17,19.0
awgn,11,QAM64-2/3,11.0,30,30,0,1.0,0,11.1,33.0
awgn,11,QAM64-2/3,12.0,30,30,0,1.0,0,12.08,32.2
awgn,11,QAM64-2/3,13.0,30,30,0,1.0,0,13.05,30.8
awgn,11,QAM64-2/3,14.0,30,30,30,0.0,4440,14.02,21.4
