channel,mode,mode_name,snr_3k_db,frames,acquired,decoded,fer,throughput_bps,mean_reported_snr_db,seconds
awgn,0,BPSK-1/5,-8.0,30,0,0,1.0,0,,1.7
awgn,0,BPSK-1/5,-7.0,30,0,0,1.0,0,,1.9
awgn,0,BPSK-1/5,-6.0,30,8,5,0.8333,32,-3.38,5.4
awgn,0,BPSK-1/5,-5.0,30,14,13,0.5667,83,-2.89,4.5
awgn,0,BPSK-1/5,-4.0,30,23,23,0.2333,147,-2.19,4.3
awgn,0,BPSK-1/5,-3.0,30,29,29,0.0333,185,-1.53,3.9
awgn,0,BPSK-1/5,-2.0,30,30,30,0.0,192,-0.76,3.5
awgn,2,BPSK-1/2,-4.0,30,16,0,1.0,0,-2.35,12.2
awgn,2,BPSK-1/2,-3.0,30,22,0,1.0,0,-1.63,16.4
awgn,2,BPSK-1/2,-2.0,30,29,22,0.2667,378,-0.81,11.3
awgn,2,BPSK-1/2,-1.0,30,29,29,0.0333,499,-0.01,5.1
awgn,2,BPSK-1/2,0.0,30,30,30,0.0,516,0.81,4.4
awgn,4,QPSK-1/2,-1.0,30,29,0,1.0,0,-0.04,20.6
awgn,4,QPSK-1/2,0.0,30,30,0,1.0,0,0.79,22.3
awgn,4,QPSK-1/2,1.0,30,30,27,0.1,956,1.65,12.4
awgn,4,QPSK-1/2,2.0,30,30,30,0.0,1062,2.54,5.9
awgn,4,QPSK-1/2,3.0,30,30,30,0.0,1062,3.45,3.9
awgn,6,PSK8-1/2,2.0,30,30,0,1.0,0,2.54,23.3
awgn,6,PSK8-1/2,3.0,30,30,0,1.0,0,3.45,18.3
awgn,6,PSK8-1/2,4.0,30,30,25,0.1667,1333,4.38,11.2
awgn,6,PSK8-1/2,5.0,30,30,30,0.0,1600,5.32,4.2
awgn,6,PSK8-1/2,6.0,30,30,30,0.0,1600,6.27,3.5
awgn,8,QAM16-1/2,4.0,30,30,0,1.0,0,4.35,20.9
awgn,8,QAM16-1/2,5.0,30,30,0,1.0,0,5.29,18.6
awgn,8,QAM16-1/2,6.0,30,30,26,0.1333,1860,6.24,12.1
awgn,8,QAM16-1/2,7.0,30,30,30,0.0,2146,7.21,4.5
awgn,8,QAM16-1/2,8.0,30,30,30,0.0,2146,8.18,3.9
awgn,10,QAM16-3/4,8.0,30,30,0,1.0,0,8.27,21.0
awgn,10,QAM16-3/4,9.0,30,30,0,1.0,0,9.24,20.8
awgn,10,QAM16-3/4,10.0,30,30,30,0.0,3229,10.22,6.9
awgn,10,QAM16-3/4,11.0,30,30,30,0.0,3229,11.2,7.2
awgn,13,QAM64-5/6,15.0,30,30,0,1.0,0,15.03,23.3
awgn,13,QAM64-5/6,16.0,30,30,2,0.9333,360,16.03,24.9
awgn,13,QAM64-5/6,17.0,30,30,30,0.0,5397,17.03,9.6
awgn,13,QAM64-5/6,18.0,30,30,30,0.0,5397,18.03,5.9
good,0,BPSK-1/5,-6.0,30,6,8,0.7333,51,-1.99,2.1
good,0,BPSK-1/5,-5.0,30,6,12,0.6,77,-1.25,2.2
good,0,BPSK-1/5,-4.0,30,8,14,0.5333,89,-1.04,2.5
good,0,BPSK-1/5,-3.0,30,10,17,0.4333,109,-0.55,2.1
good,0,BPSK-1/5,-2.0,30,11,19,0.3667,121,0.06,1.9
good,0,BPSK-1/5,-1.0,30,12,21,0.3,134,0.62,1.9
good,0,BPSK-1/5,0.0,30,12,22,0.2667,141,1.39,1.8
good,0,BPSK-1/5,1.0,30,13,25,0.1667,160,2.08,1.8
good,0,BPSK-1/5,2.0,30,13,26,0.1333,166,2.47,2.0
good,0,BPSK-1/5,3.0,30,13,26,0.1333,166,3.35,1.9
good,0,BPSK-1/5,4.0,30,14,29,0.0333,185,3.76,2.1
good,0,BPSK-1/5,5.0,30,13,30,0.0,192,5.17,1.9
good,2,BPSK-1/2,-2.0,30,12,12,0.6,206,-0.21,7.0
good,2,BPSK-1/2,-1.0,30,13,13,0.5667,224,0.41,9.6
good,2,BPSK-1/2,0.0,30,13,17,0.4333,292,1.09,7.8
good,2,BPSK-1/2,1.0,30,15,17,0.4333,292,1.66,6.4
good,2,BPSK-1/2,2.0,30,16,20,0.3333,344,2.34,7.5
good,2,BPSK-1/2,3.0,30,15,24,0.2,413,3.04,4.1
good,2,BPSK-1/2,4.0,30,15,24,0.2,413,3.94,5.1
good,2,BPSK-1/2,5.0,30,15,25,0.1667,430,4.86,6.3
good,2,BPSK-1/2,6.0,30,16,28,0.0667,482,5.32,6.8
good,2,BPSK-1/2,7.0,30,16,30,0.0,516,6.25,5.1
good,2,BPSK-1/2,8.0,30,16,30,0.0,516,7.2,3.6
