frame,channel,snr_db,trials,read_median_db,read_mean_db,read_p10_db,read_p90_db
tone-24,awgn,-10,20,-9.91,-9.93,-10.22,-9.66
tone-24,awgn,-5,20,-5.07,-5.05,-5.27,-4.91
tone-24,awgn,0,20,-0.19,-0.17,-0.32,0.02
tone-24,awgn,5,20,4.65,4.68,4.55,4.83
tone-24,awgn,10,20,9.19,9.19,9.06,9.33
tone-24,awgn,15,20,12.92,12.91,12.68,13.11
tone-24,awgn,20,20,15.37,15.45,15.09,15.9
tone-24,awgn,25,20,16.8,16.85,16.25,17.58
tone-24,awgn,30,20,17.09,17.11,16.5,17.59
tone-24,awgn,35,20,17.43,17.38,16.75,17.89
tone-24,awgn,40,20,17.2,17.27,16.86,17.95
tone-24,good,-10,20,-12.53,-12.16,-15.0,-8.52
tone-24,good,-5,20,-5.07,-4.95,-7.49,-1.21
tone-24,good,0,20,-0.35,-0.62,-3.05,2.34
tone-24,good,5,20,2.85,2.74,-0.42,6.2
tone-24,good,10,20,8.54,8.2,5.27,10.91
tone-24,good,15,20,12.21,11.5,8.68,13.35
tone-24,good,20,20,13.69,13.28,10.38,15.41
tone-24,good,25,20,14.37,14.08,10.44,16.65
tone-24,good,30,20,15.41,15.29,12.62,17.51
tone-24,good,35,20,15.12,15.28,12.96,17.59
tone-24,good,40,20,15.13,15.48,13.27,17.87
tone-24,moderate,-10,20,-9.83,-10.12,-11.9,-7.95
tone-24,moderate,-5,20,-6.28,-6.41,-8.68,-4.35
tone-24,moderate,0,20,-0.65,-0.87,-2.82,0.7
tone-24,moderate,5,20,3.25,2.81,-0.02,4.93
tone-24,moderate,10,20,6.48,6.77,4.39,9.34
tone-24,moderate,15,20,8.55,8.9,6.73,11.13
tone-24,moderate,20,20,10.89,10.5,7.31,12.92
tone-24,moderate,25,20,11.81,11.56,9.61,13.48
tone-24,moderate,30,20,12.0,11.63,8.46,13.27
tone-24,moderate,35,20,11.35,11.26,9.08,12.73
tone-24,moderate,40,20,10.5,10.34,7.4,12.59
tone-24,poor,-10,20,-11.06,-11.0,-12.82,-9.16
tone-24,poor,-5,20,-5.96,-6.2,-8.2,-4.15
tone-24,poor,0,20,-2.72,-2.47,-4.18,-0.21
tone-24,poor,5,20,1.02,1.27,-0.51,3.62
tone-24,poor,10,20,3.08,3.18,1.09,5.67
tone-24,poor,15,20,4.76,4.57,2.93,6.26
tone-24,poor,20,20,4.32,4.52,2.32,6.83
tone-24,poor,25,20,4.7,4.92,2.34,6.97
tone-24,poor,30,20,5.17,5.02,3.2,8.05
tone-24,poor,35,20,4.71,4.75,2.64,6.56
tone-24,poor,40,20,6.02,5.62,3.2,7.39
tone-control,awgn,-10,20,-10.17,-10.12,-10.38,-9.72
tone-control,awgn,-5,20,-5.03,-5.07,-5.34,-4.82
tone-control,awgn,0,20,-0.17,-0.12,-0.34,0.12
tone-control,awgn,5,20,4.72,4.72,4.47,4.91
tone-control,awgn,10,20,9.09,9.14,8.98,9.43
tone-control,awgn,15,20,13.05,12.95,12.57,13.2
tone-control,awgn,20,20,15.71,15.55,15.1,15.89
tone-control,awgn,25,20,17.15,17.16,16.58,17.6
tone-control,awgn,30,20,17.93,18.08,17.22,19.15
tone-control,awgn,35,20,17.51,17.57,16.74,18.49
tone-control,awgn,40,20,17.71,17.99,16.98,19.18
tone-control,good,-10,20,-11.85,-11.63,-16.96,-6.47
tone-control,good,-5,20,-6.14,-6.68,-14.16,0.17
tone-control,good,0,20,-3.39,-2.67,-7.73,2.82
tone-control,good,5,20,2.76,2.43,-1.18,6.42
tone-control,good,10,20,6.59,7.14,3.91,11.12
tone-control,good,15,20,9.83,10.05,7.32,13.6
tone-control,good,20,20,13.14,12.7,10.59,14.78
tone-control,good,25,20,14.32,14.03,11.62,16.64
tone-control,good,30,20,15.25,15.3,13.63,17.06
tone-control,good,35,20,15.78,15.24,12.81,17.01
tone-control,good,40,20,15.25,15.27,12.54,18.11
tone-control,moderate,-10,20,-10.37,-9.95,-12.68,-7.2
tone-control,moderate,-5,20,-5.69,-5.64,-7.28,-4.21
tone-control,moderate,0,20,-1.17,-0.99,-3.25,1.75
tone-control,moderate,5,20,2.99,3.16,0.91,5.09
tone-control,moderate,10,20,6.52,6.73,5.5,8.25
tone-control,moderate,15,20,8.37,8.5,6.39,10.37
tone-control,moderate,20,20,10.83,10.6,8.22,13.4
tone-control,moderate,25,20,11.38,11.37,8.7,13.91
tone-control,moderate,30,20,11.67,11.07,7.81,13.16
tone-control,moderate,35,20,10.93,10.87,7.77,13.77
tone-control,moderate,40,20,12.64,11.97,9.69,13.46
tone-control,poor,-10,20,-9.88,-9.98,-11.88,-8.3
tone-control,poor,-5,20,-6.01,-5.97,-8.35,-3.95
tone-control,poor,0,20,-1.95,-1.87,-3.97,0.01
tone-control,poor,5,20,1.48,1.12,-1.5,3.1
tone-control,poor,10,20,3.43,3.55,1.63,5.55
tone-control,poor,15,20,5.51,4.97,2.22,6.63
tone-control,poor,20,20,5.07,5.74,4.15,8.56
tone-control,poor,25,20,4.71,4.95,3.29,6.32
tone-control,poor,30,20,5.12,5.39,3.96,7.32
tone-control,poor,35,20,4.43,4.5,2.95,6.32
tone-control,poor,40,20,5.21,5.07,1.6,7.86
