engine,policy,link,bandwidth_hz,channel,snr_db,pipe,floor_cap,first_trial,sessions,connected,lines,delivered,lost,drops,stalls,median_s,p90_s,mean_s,reply_median_s,reply_p90_s,follow_up_median_s,follow_up_p90_s,file_bytes,file_median_s,keyed_per_line_s,duty,polls_per_line,turns_per_line,requests_per_line,wall_s
before,base,,2300,good,-12.0,fading,1,0,30,30,457,455,2,1,0,40.9,65.0,42.3,43.6,67.0,26.0,45.9,0,,43.9,0.746,1.755,0.886,0.0,12.6
before,base,,2300,good,-6.0,fading,1,0,30,30,457,447,10,1,0,24.5,38.7,24.5,26.4,39.5,6.8,17.9,0,,25.51,0.636,1.372,0.79,0.0,7.4
before,base,,2300,good,0.0,fading,1,0,30,30,457,457,0,0,0,12.1,24.7,13.3,13.6,25.7,5.4,9.6,0,,11.88,0.398,1.742,0.816,0.0,8.2
before,base,,2300,good,6.0,fading,1,0,30,30,457,457,0,0,0,7.2,12.8,7.2,8.4,13.0,1.1,3.1,0,,4.31,0.182,1.77,0.801,0.0,6.7
before,base,,2300,good,12.0,fading,1,0,30,30,457,457,0,0,0,6.6,11.8,6.5,7.4,11.9,1.1,3.1,0,,3.58,0.156,1.764,0.801,0.0,6.3
before,base,,2300,moderate,-12.0,fading,1,0,30,30,457,457,0,0,0,34.3,53.1,35.0,36.6,54.9,19.5,36.4,0,,36.51,0.709,1.341,0.805,0.0,10.4
before,base,,2300,moderate,-6.0,fading,1,0,30,30,457,457,0,0,0,22.0,29.8,20.7,23.6,31.0,5.4,14.9,0,,22.43,0.602,1.298,0.796,0.0,7.6
before,base,,2300,moderate,0.0,fading,1,0,30,30,457,457,0,0,0,11.2,22.4,12.5,13.0,24.0,4.2,8.4,0,,10.66,0.368,1.729,0.832,0.0,9.0
before,base,,2300,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,7.2,12.5,7.2,8.3,12.7,1.1,3.2,0,,4.28,0.181,1.772,0.799,0.0,7.5
before,base,,2300,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,6.5,11.7,6.3,7.3,11.9,1.1,3.1,0,,3.46,0.152,1.761,0.796,0.0,8.0
before,base,,2300,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,32.0,49.3,32.5,35.2,51.5,14.2,26.8,0,,34.06,0.695,1.304,0.796,0.0,13.4
before,base,,2300,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,22.2,31.1,21.2,23.8,32.0,5.4,14.9,0,,22.85,0.606,1.298,0.796,0.0,10.1
before,base,,2300,poor,0.0,fading,1,0,30,30,457,457,0,0,0,11.0,21.0,11.5,12.5,21.6,4.2,6.3,0,,9.28,0.331,1.794,0.864,0.0,10.7
before,base,,2300,poor,6.0,fading,1,0,30,30,457,457,0,0,0,7.2,12.4,7.0,8.1,12.7,1.1,3.1,0,,4.09,0.174,1.761,0.801,0.0,8.5
before,base,,2300,poor,12.0,fading,1,0,30,30,457,457,0,0,0,6.4,11.6,6.3,7.2,11.8,1.1,3.1,0,,3.48,0.152,1.761,0.796,0.0,7.3
before,base,,500,good,-12.0,fading,1,0,30,30,457,455,2,1,0,40.6,64.7,42.0,43.5,67.0,26.8,47.7,0,,43.75,0.746,1.733,0.897,0.0,26.3
before,base,,500,good,-6.0,fading,1,0,30,30,457,417,40,3,0,28.7,43.3,28.9,30.7,44.1,10.7,22.3,0,,27.97,0.667,1.271,0.733,0.0,19.2
before,base,,500,good,0.0,fading,1,0,30,30,457,444,13,1,0,17.7,32.6,18.5,20.2,33.7,6.0,14.8,0,,17.1,0.502,1.969,0.805,0.0,14.7
before,base,,500,good,6.0,fading,1,0,30,30,457,457,0,0,0,9.7,16.3,9.9,11.3,16.8,3.1,6.4,0,,6.97,0.264,1.818,0.814,0.0,12.2
before,base,,500,good,12.0,fading,1,0,30,30,457,457,0,0,0,7.3,12.8,7.3,8.4,12.9,1.5,3.2,0,,4.37,0.183,1.781,0.803,0.0,8.2
before,base,,500,moderate,-12.0,fading,1,0,30,30,457,457,0,0,0,34.5,53.1,35.2,36.6,54.8,21.5,36.4,0,,36.78,0.711,1.328,0.805,0.0,10.9
before,base,,500,moderate,-6.0,fading,1,0,30,30,457,457,0,0,0,26.9,37.7,25.8,28.6,38.4,10.7,20.3,0,,27.47,0.649,1.298,0.796,0.0,8.6
before,base,,500,moderate,0.0,fading,1,0,30,30,457,457,0,0,0,21.0,35.4,21.3,23.9,36.7,6.4,14.9,0,,20.46,0.541,1.81,0.88,0.0,9.0
before,base,,500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,9.8,17.3,10.3,11.1,17.7,3.2,5.7,0,,7.37,0.275,1.775,0.823,0.0,6.5
before,base,,500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,7.3,12.6,7.4,8.4,12.8,2.1,4.2,0,,4.42,0.185,1.764,0.796,0.0,5.6
before,base,,500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,32.3,49.3,33.2,35.2,51.7,20.3,31.0,0,,34.77,0.699,1.298,0.796,0.0,11.6
before,base,,500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,26.8,37.6,25.4,28.4,38.5,10.7,20.3,0,,27.11,0.647,1.298,0.796,0.0,10.6
before,base,,500,poor,0.0,fading,1,0,30,30,457,441,16,1,0,17.3,32.9,18.6,20.5,34.2,6.3,11.5,0,,16.69,0.492,1.845,0.882,0.0,9.8
before,base,,500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,8.8,15.0,8.9,10.1,15.4,3.1,5.3,0,,5.97,0.235,1.764,0.812,0.0,6.6
before,base,,500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,7.1,12.4,7.0,8.0,12.6,1.1,3.1,0,,4.11,0.175,1.761,0.796,0.0,9.3
after,base,,2300,good,-12.0,fading,1,0,30,30,457,447,10,1,0,38.5,61.2,40.3,41.6,62.5,22.6,47.9,0,,41.63,0.748,1.274,0.895,0.0,11.5
after,base,,2300,good,-6.0,fading,1,0,30,30,457,457,0,0,0,24.3,37.8,24.0,26.0,38.7,10.7,17.8,0,,25.59,0.632,1.306,0.812,0.0,7.2
after,base,,2300,good,0.0,fading,1,0,30,30,457,457,0,0,0,11.9,24.9,13.3,13.9,25.6,3.2,10.2,0,,11.92,0.4,1.681,0.812,0.0,8.3
after,base,,2300,good,6.0,fading,1,0,30,30,457,457,0,0,0,7.2,12.8,7.2,8.4,12.9,1.1,3.1,0,,4.3,0.181,1.772,0.801,0.0,6.8
after,base,,2300,good,12.0,fading,1,0,30,30,457,457,0,0,0,6.6,11.8,6.5,7.4,11.9,1.1,3.1,0,,3.58,0.156,1.764,0.801,0.0,6.4
after,base,,2300,moderate,-12.0,fading,1,0,30,30,457,457,0,0,0,34.3,52.7,34.7,36.5,54.4,18.3,36.4,0,,36.2,0.707,1.302,0.812,0.0,10.3
after,base,,2300,moderate,-6.0,fading,1,0,30,30,457,457,0,0,0,22.0,29.8,20.7,23.6,31.0,5.4,14.9,0,,22.43,0.602,1.298,0.796,0.0,7.5
after,base,,2300,moderate,0.0,fading,1,0,30,30,457,457,0,0,0,11.0,22.2,12.3,13.2,23.3,5.3,8.4,0,,10.53,0.365,1.685,0.827,0.0,8.8
after,base,,2300,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,7.1,12.3,7.1,8.3,12.6,1.1,3.1,0,,4.22,0.179,1.772,0.796,0.0,7.3
after,base,,2300,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,6.5,11.7,6.3,7.3,11.9,1.1,3.1,0,,3.46,0.152,1.761,0.796,0.0,7.9
after,base,,2300,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,32.0,49.3,32.5,35.2,51.5,14.2,26.8,0,,34.03,0.694,1.298,0.796,0.0,13.7
after,base,,2300,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,22.2,31.1,21.2,23.8,32.0,5.4,14.9,0,,22.85,0.606,1.298,0.796,0.0,10.1
after,base,,2300,poor,0.0,fading,1,0,30,30,457,457,0,0,0,11.4,22.1,12.0,12.7,23.4,4.2,6.9,0,,9.98,0.35,1.729,0.845,0.0,10.8
after,base,,2300,poor,6.0,fading,1,0,30,30,457,457,0,0,0,7.2,12.4,7.0,8.1,12.7,1.1,3.1,0,,4.09,0.174,1.761,0.801,0.0,8.6
after,base,,2300,poor,12.0,fading,1,0,30,30,457,457,0,0,0,6.4,11.6,6.3,7.2,11.8,1.1,3.1,0,,3.48,0.152,1.761,0.796,0.0,6.7
after,base,,500,good,-12.0,fading,1,0,30,30,457,457,0,0,0,39.3,60.4,40.6,42.4,62.5,21.5,51.0,0,,42.93,0.752,1.291,0.926,0.0,25.6
after,base,,500,good,-6.0,fading,1,0,30,30,457,441,16,2,0,28.6,43.3,28.6,30.6,44.1,10.7,22.0,0,,29.23,0.665,1.282,0.786,0.0,20.2
after,base,,500,good,0.0,fading,1,0,30,30,457,457,0,0,0,17.3,34.5,18.8,20.2,35.9,5.4,11.7,0,,17.81,0.504,1.764,0.834,0.0,15.8
after,base,,500,good,6.0,fading,1,0,30,30,457,457,0,0,0,9.9,16.4,9.9,11.0,17.1,2.6,7.4,0,,6.99,0.264,1.829,0.812,0.0,12.3
after,base,,500,good,12.0,fading,1,0,30,30,457,457,0,0,0,7.3,12.8,7.3,8.4,12.9,1.5,4.2,0,,4.38,0.184,1.777,0.803,0.0,8.5
after,base,,500,moderate,-12.0,fading,1,0,30,30,457,457,0,0,0,34.4,52.9,35.0,36.3,54.1,21.5,36.4,0,,36.54,0.709,1.3,0.807,0.0,10.8
after,base,,500,moderate,-6.0,fading,1,0,30,30,457,457,0,0,0,26.9,37.7,25.8,28.6,38.4,10.7,20.3,0,,27.47,0.649,1.298,0.796,0.0,8.1
after,base,,500,moderate,0.0,fading,1,0,30,30,457,457,0,0,0,22.3,34.9,21.7,24.4,36.0,8.7,15.0,0,,21.13,0.552,1.597,0.882,0.0,8.9
after,base,,500,moderate,6.0,fading,1,0,30,30,457,457,0,0,0,9.5,16.4,10.0,10.9,17.4,3.9,5.4,0,,7.14,0.269,1.772,0.816,0.0,6.7
after,base,,500,moderate,12.0,fading,1,0,30,30,457,457,0,0,0,7.3,12.6,7.4,8.4,12.8,2.1,4.2,0,,4.42,0.185,1.764,0.796,0.0,5.6
after,base,,500,poor,-12.0,fading,1,0,30,30,457,457,0,0,0,32.3,49.3,33.2,35.2,51.7,20.3,31.0,0,,34.77,0.699,1.298,0.796,0.0,10.8
after,base,,500,poor,-6.0,fading,1,0,30,30,457,457,0,0,0,26.8,37.6,25.4,28.4,38.5,10.7,20.3,0,,27.11,0.647,1.298,0.796,0.0,10.2
after,base,,500,poor,0.0,fading,1,0,30,30,457,457,0,0,0,16.6,32.1,18.0,19.5,33.2,5.4,10.7,0,,16.56,0.48,1.742,0.923,0.0,10.7
after,base,,500,poor,6.0,fading,1,0,30,30,457,457,0,0,0,8.9,14.9,8.9,10.2,15.3,3.1,5.3,0,,6.01,0.236,1.766,0.81,0.0,6.5
after,base,,500,poor,12.0,fading,1,0,30,30,457,457,0,0,0,7.1,12.4,7.0,8.0,12.6,1.1,3.1,0,,4.11,0.175,1.761,0.796,0.0,8.5
before,base,,2300,good,-12.0,fading,1,100,100,100,1534,1527,7,1,0,40.9,66.1,42.8,43.9,69.1,26.8,47.6,0,,44.27,0.752,1.711,0.901,0.0,103.1
before,base,,2300,good,-6.0,fading,1,100,100,100,1534,1518,16,1,0,23.9,36.7,23.7,26.0,38.1,7.7,17.0,0,,25.2,0.635,1.292,0.788,0.0,69.9
before,base,,2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,12.3,24.6,13.4,14.0,25.7,5.3,8.1,0,,12.44,0.418,1.696,0.797,0.0,54.3
before,base,,2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,34.1,51.7,34.4,36.5,53.4,20.2,36.4,0,,36.11,0.71,1.308,0.8,0.0,62.4
before,base,,2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,21.7,30.3,20.7,23.3,31.2,5.5,14.9,0,,22.44,0.605,1.272,0.787,0.0,39.8
before,base,,2300,moderate,0.0,fading,1,100,100,100,1534,1534,0,0,0,11.1,22.1,12.1,12.8,22.9,4.2,7.0,0,,10.16,0.356,1.729,0.827,0.0,46.5
before,base,,2300,poor,-12.0,fading,1,100,100,100,1534,1534,0,0,0,32.1,49.5,32.5,34.9,50.9,16.1,31.0,0,,34.1,0.697,1.271,0.788,0.0,61.7
before,base,,2300,poor,-6.0,fading,1,100,100,100,1534,1534,0,0,0,21.9,31.1,21.1,23.8,32.2,6.8,14.9,0,,22.79,0.608,1.272,0.787,0.0,46.0
before,base,,2300,poor,0.0,fading,1,100,100,100,1534,1534,0,0,0,10.7,19.7,11.1,12.1,20.8,4.2,6.3,0,,8.93,0.325,1.789,0.851,0.0,49.5
before,base,,500,good,-12.0,fading,1,100,100,100,1534,1523,11,2,0,41.4,66.1,43.1,43.6,68.8,26.8,50.2,0,,44.54,0.753,1.728,0.898,0.0,99.8
before,base,,500,good,-6.0,fading,1,100,100,100,1534,1503,31,3,0,28.3,42.4,28.1,30.8,43.7,10.7,21.0,0,,29.35,0.671,1.29,0.784,0.0,65.1
before,base,,500,good,0.0,fading,1,100,100,100,1534,1507,27,4,0,18.2,32.6,19.1,21.1,34.0,6.3,15.8,0,,17.84,0.509,1.934,0.806,0.0,75.6
before,base,,500,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,34.3,52.2,34.9,36.5,53.6,21.5,36.4,0,,36.44,0.711,1.319,0.797,0.0,71.7
before,base,,500,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,26.8,37.6,25.8,29.0,38.5,10.7,20.3,0,,27.57,0.653,1.272,0.787,0.0,51.6
before,base,,500,moderate,0.0,fading,1,100,100,100,1534,1521,13,1,0,21.4,35.2,21.5,23.9,36.3,8.4,14.8,0,,20.51,0.545,1.797,0.878,0.0,56.1
before,base,,500,poor,-12.0,fading,1,100,100,100,1534,1534,0,0,0,32.5,49.7,33.3,34.9,51.1,21.4,36.4,0,,34.85,0.702,1.27,0.787,0.0,62.9
before,base,,500,poor,-6.0,fading,1,100,100,100,1534,1534,0,0,0,26.5,37.2,25.4,28.6,37.8,10.7,20.3,0,,27.15,0.65,1.272,0.787,0.0,52.4
before,base,,500,poor,0.0,fading,1,100,100,100,1534,1513,21,3,0,17.6,32.4,18.8,20.4,33.3,6.3,11.7,0,,16.93,0.486,1.857,0.904,0.0,61.1
after,base,,2300,good,-12.0,fading,1,100,100,100,1534,1522,12,1,0,38.4,63.3,40.7,41.0,64.8,26.4,46.0,0,,42.65,0.752,1.304,0.915,0.0,99.9
after,base,,2300,good,-6.0,fading,1,100,100,100,1534,1534,0,0,0,24.1,36.1,23.6,26.1,37.7,7.5,16.5,0,,25.39,0.634,1.281,0.795,0.0,70.1
after,base,,2300,good,0.0,fading,1,100,100,100,1534,1534,0,0,0,12.6,25.1,13.6,14.4,25.9,5.4,9.5,0,,12.77,0.425,1.62,0.8,0.0,54.6
after,base,,2300,moderate,-12.0,fading,1,100,100,100,1534,1534,0,0,0,33.9,51.7,34.3,36.4,53.3,19.8,36.4,0,,35.96,0.71,1.273,0.799,0.0,62.8
after,base,,2300,moderate,-6.0,fading,1,100,100,100,1534,1534,0,0,0,21.7,30.3,20.7,23.3,31.2,5.5,14.9,0,,22.44,0.605,1.272,0.787,0.0,40.0
after,base,,2300,moderate,0.0,fading,1,100,100,100,1534,1534,0,0,0,11.4,22.2,12.2,13.1,23.2,4.2,7.3,0,,10.33,0.361,1.692,0.831,0.0,45.9
after,base,,2300,poor,-12.0,fading,1,100,100,100,1534,1534,0,0,0,32.1,49.5,32.5,34.9,50.9,16.1,31.0,0,,34.1,0.697,1.271,0.788,0.0,61.1
after,base,,2300,poor,-6.0,fading,1,100,100,100,1534,1534,0,0,0,21.9,31.1,21.1,23.8,32.2,6.8,14.9,0,,22.79,0.608,1.272,0.787,0.0,46.3
after,base,,2300,poor,0.0,fading,1,100,100,100,1534,1534,0,0,0,10.5,19.7,11.0,12.0,20.6,4.2,6.3,0,,8.78,0.32,1.768,0.849,0.0,49.1
after,base,,500,good,-12.0,fading,1,100,100,100,1534,1522,12,1,0,38.5,63.6,40.8,41.2,65.5,26.6,46.5,0,,42.68,0.751,1.304,0.902,0.0,95.8
after,base,,500,good,-6.0,fading,1,100,100,100,1534,1518,16,2,0,28.4,42.5,28.2,30.7,43.9,10.7,21.5,0,,29.6,0.67,1.28,0.799,0.0,66.8
after,base,,500,good,0.0,fading,1,100,100,100,1534,1525,9,2,0,18.1,32.6,19.1,21.0,33.5,6.3,13.9,0,,18.22,0.513,1.698,0.821,0.0,75.7
