engine,backend,bandwidth_hz,rate,link,channel,snr_db,snr_reference,pipe,ramp,bytes,seconds,goodput_bps,ideal_bps,efficiency,mode_min,mode_max,mode_final,mode_changes,bursts,frames_sent,frames_resent,harq_rescues,ack_timeouts,ok,wall_s
before,sim,2300,,,good,-12.0,average,fading,,2000,740.8,21.6,0.0,,0,0,0,0,20,119,23,1,2,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,752.7,21.3,0.0,,0,2,0,3,21,120,39,0,5,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,657.7,15.7,0.0,,0,1,0,2,14,84,26,0,4,0,0.2
before,sim,2300,,,good,-12.0,average,fading,,2000,813.9,19.7,0.0,,0,1,0,2,23,130,38,3,4,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,520.6,30.7,0.0,,0,3,0,4,15,82,12,5,1,1,0.2
before,sim,2300,,,good,-12.0,average,fading,,2000,651.2,24.6,0.0,,0,2,0,3,18,104,18,2,1,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,719.3,22.2,0.0,,0,0,0,0,20,115,19,3,2,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,730.0,21.9,0.0,,0,0,0,0,20,117,21,2,2,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,778.8,20.5,0.0,,0,2,0,1,21,121,33,2,4,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,739.9,21.6,0.0,,0,0,0,0,20,116,20,3,2,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,573.8,27.9,0.0,,0,2,1,7,16,91,19,2,2,1,0.2
before,sim,2300,,,good,-12.0,average,fading,,2000,741.5,21.6,0.0,,0,1,0,2,20,119,27,2,3,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,746.9,21.4,0.0,,0,1,0,2,20,120,28,1,3,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,872.5,18.3,0.0,,0,0,0,0,24,140,44,2,5,1,0.4
before,sim,2300,,,good,-12.0,average,fading,,2000,741.3,21.6,0.0,,0,0,0,0,21,114,18,3,2,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,899.7,17.8,0.0,,0,0,0,0,25,144,48,3,7,1,0.4
before,sim,2300,,,good,-12.0,average,fading,,2000,646.6,24.7,0.0,,0,2,0,2,18,103,18,0,2,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,773.3,20.7,0.0,,0,0,0,0,21,124,28,1,4,1,0.3
before,sim,2300,,,good,-12.0,average,fading,,2000,298.6,5.3,0.0,,0,1,0,1,4,24,18,0,3,0,0.1
before,sim,2300,,,good,-12.0,average,fading,,2000,782.5,20.4,0.0,,0,2,0,3,23,124,38,2,5,1,0.3
before,sim,2300,,,good,-6.0,average,fading,,2000,151.9,105.3,156.7,0.672,2,5,4,3,4,22,2,2,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,177.6,90.1,156.7,0.575,2,4,4,2,5,26,2,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,250.3,63.9,156.7,0.408,0,4,2,4,7,38,2,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,150.8,106.1,156.7,0.677,2,5,4,3,5,21,1,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,151.9,105.3,156.7,0.672,3,5,4,2,4,22,3,1,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,161.5,99.1,156.7,0.632,2,5,4,3,5,23,1,1,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,266.4,60.1,156.7,0.383,0,3,3,4,7,41,1,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,292.0,54.8,156.7,0.35,0,3,2,3,8,45,2,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,172.2,92.9,156.7,0.593,2,5,2,4,5,25,5,1,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,199.0,80.4,156.7,0.513,0,4,4,3,5,30,0,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,141.2,113.3,156.7,0.723,2,5,5,2,4,20,0,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,426.8,37.5,156.7,0.239,0,2,0,4,12,67,3,0,0,1,0.2
before,sim,2300,,,good,-6.0,average,fading,,2000,213.9,74.8,156.7,0.477,1,4,1,3,6,32,2,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,281.3,56.9,156.7,0.363,1,3,2,4,8,43,2,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,228.9,69.9,156.7,0.446,0,4,0,4,7,34,4,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,426.8,37.5,156.7,0.239,0,3,0,6,12,67,3,1,0,1,0.2
before,sim,2300,,,good,-6.0,average,fading,,2000,166.8,95.9,156.7,0.612,2,5,2,4,5,24,4,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,177.6,90.1,156.7,0.575,2,5,4,3,5,26,4,2,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,203.2,78.7,156.7,0.502,2,4,2,4,6,30,3,0,0,1,0.1
before,sim,2300,,,good,-6.0,average,fading,,2000,157.3,101.7,156.7,0.649,3,5,3,3,4,23,3,1,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,128.3,124.7,228.4,0.546,4,7,4,3,9,45,12,7,1,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.0
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.0
before,sim,2300,,,good,0.0,average,fading,,2000,127.4,125.6,228.4,0.55,2,7,2,6,12,68,22,10,2,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,130.5,122.6,228.4,0.537,3,5,4,2,4,18,1,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,126.3,126.7,228.4,0.555,2,5,5,1,3,18,0,0,0,1,0.0
before,sim,2300,,,good,0.0,average,fading,,2000,83.5,191.6,228.4,0.839,3,8,7,7,11,56,12,4,2,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,104.3,153.4,228.4,0.672,3,7,7,2,5,28,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,130.5,122.6,228.4,0.537,3,5,4,2,4,18,1,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,141.2,113.3,228.4,0.496,3,5,5,3,4,20,1,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,118.7,134.8,228.4,0.59,4,7,4,3,11,51,14,1,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,120.9,132.3,228.4,0.58,3,5,5,1,3,17,0,0,0,1,0.1
before,sim,2300,,,good,0.0,average,fading,,2000,108.7,147.1,228.4,0.644,4,7,4,3,12,64,19,4,0,1,0.1
