date,recording,callsign,remote,km,band,bandwidth_hz,class,mode,frames,decoded,fer,snr_db
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,2,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,3,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,4,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,5,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,6,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,7,5,5,0.000,11.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,8,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,9,5,5,0.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,10,5,5,0.000,11.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,11,5,5,0.000,11.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,12,5,5,0.000,11.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,13,5,0,1.000,12.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,14,5,0,1.000,13.0
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,,bench,2300,awgn,15,5,0,1.000,12.0
