date,recording,callsign,remote,my_grid,their_grid,km,band,frequency_hz,bandwidth_hz,class,outcome,snr_db,probe_there_db,probe_here_db,message_bps,file_bps,goodput_bps,rungs,ladder,rig,power_w,antenna
2026-09-16,20260916-223635_KK4ODA-1_KK4ODA-2_test,KK4ODA-1,KK4ODA-2,EM73,,,bench,,2300,awgn,complete,11.8,12.0,11.8,1041.3,1976.7,1976.7,14,2:5/5@12; 3:5/5@12; 4:5/5@12; 5:5/5@12; 6:5/5@12; 7:5/5@11; 8:5/5@12; 9:5/5@12; 10:5/5@11; 11:5/5@11; 12:5/5@11; 13:0/5@12; 14:0/5@13; 15:0/5@12,bench,50.0,a socket
2026-09-23,20260923-225125_KK4ODA-1_W4TGA,KK4ODA-1,W4TGA,EM73,,,40 m,7082000.0,2300,good,session,-0.0,,,,,0.7,0,,FTDx10,50.0,T2D
2026-09-23,20260923-235223_KK4ODA-1_W4TGA,KK4ODA-1,W4TGA,EM73,,,40 m,7082000.0,2300,good,session,0.6,,,,,5.2,0,,FTDx10,50.0,T2D
2026-09-23,20260923-235428_KK4ODA-1_W4TGA,KK4ODA-1,W4TGA,EM73,,,40 m,7082000.0,2300,good,session,1.0,,,,,10.8,0,,FTDx10,50.0,T2D
2026-09-24,20260924-011858_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,2300,moderate,session,1.7,,,,,10.9,0,,FTDx10,50.0,T2D
2026-09-24,20260924-012644_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,2300,moderate,session,0.8,,,,,12.1,0,,FTDx10,50.0,T2D
2026-09-24,20260924-012850_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,2300,moderate,session,2.0,,,,,18.3,0,,FTDx10,50.0,T2D
2026-09-24,20260924-012942_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,2300,moderate,session,6.6,,,,,15.7,0,,FTDx10,50.0,T2D
2026-09-25,20260925-014006_KK4ODA-1_ND1J_test,KK4ODA-1,ND1J,EM73,,,40 m,7082000.0,2300,good,running,-8.0,-13.0,-10.3,,,1.0,0,,FTDx10,50.0,T2D
2026-09-25,20260925-015107_KK4ODA-1_ND1J_test,KK4ODA-1,ND1J,EM73,,,80 m,3590000.0,2300,poor,running,9.4,-1.0,5.0,27.7,,27.7,0,,FTDx10,50.0,T2D
2026-09-25,20260925-015837_KK4ODA-1_ND1J_test,KK4ODA-1,ND1J,EM73,,,80 m,3590000.0,500,moderate,aborted: the session dropped during the transfer,7.2,3.0,5.8,,,,0,,FTDx10,50.0,T2D
2026-09-25,20260925-020405_KK4ODA-1_KE4QCM_test,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,500,moderate,aborted: the call was not answered,-11.2,,,,,,0,,FTDx10,50.0,T2D
2026-09-25,20260925-183318_KK4ODA-1_ND1J,KK4ODA-1,ND1J,EM73,,,40 m,7082000.0,500,moderate,session,7.3,,,,,8.5,0,,FTDx10,50.0,T2D
2026-09-25,20260925-183642_KK4ODA-1_ND1J,KK4ODA-1,ND1J,EM73,,,40 m,7082000.0,500,moderate,session,5.0,,,,,42.8,0,,FTDx10,50.0,T2D
2026-09-25,20260925-190503_KK4ODA-1_ND1J,KK4ODA-1,ND1J,EM73,,,40 m,7082000.0,500,moderate,session,2.6,,,,,332.4,0,,FTDx10,50.0,T2D
2026-09-25,20260925-225955_KK4ODA-1_ND1J,KK4ODA-1,ND1J,EM73,,,40 m,7082000.0,500,moderate,session,3.5,,,,,5.7,0,,FTDx10,50.0,T2D
2026-09-25,20260925-231132_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,40 m,7082000.0,500,moderate,session,-8.9,,,,,3.3,0,,FTDx10,50.0,T2D
2026-09-25,20260925-233058_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,500,moderate,session,-3.4,,,,,,0,,FTDx10,50.0,T2D
2026-09-25,20260925-233445_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,500,moderate,session,-1.5,,,,,,0,,FTDx10,50.0,T2D
2026-09-25,20260925-235204_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,500,moderate,session,-10.4,,,,,,0,,FTDx10,50.0,T2D
2026-09-25,20260925-235621_KK4ODA-1_KE4QCM,KK4ODA-1,KE4QCM,EM73,,,80 m,3590000.0,500,moderate,session,-14.1,,,,,,0,,FTDx10,50.0,T2D
2026-09-26,20260926-024346_KK4ODA-1_ND1J_test,KK4ODA-1,ND1J,EM73,,,80 m,3590000.0,500,moderate,aborted: the call was not answered,-11.3,,,,,,0,,FTDx10,50.0,T2D
